trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_audio1_target,audio1_audio1_H,audio1_audio1_L,audio1_audio1_H_count,audio1_audio1_L_count,audio1_audio1_target_talker,audio1_audio1_H_talker,audio1_audio1_L_talker,audio1_audio1_target_file,audio1_audio1_H_file,audio1_audio1_L_file,audio1_audio2_target,audio1_audio2_H,audio1_audio2_L,audio1_audio2_H_count,audio1_audio2_L_count,audio1_audio2_target_talker,audio1_audio2_H_talker,audio1_audio2_L_talker,audio1_audio2_target_file,audio1_audio2_H_file,audio1_audio2_L_file,audio2_audio1_target,audio2_audio1_H,audio2_audio1_L,audio2_audio1_H_count,audio2_audio1_L_count,audio2_audio1_target_talker,audio2_audio1_H_talker,audio2_audio1_L_talker,audio2_audio1_target_file,audio2_audio1_H_file,audio2_audio1_L_file,audio2_audio2_target,audio2_audio2_H,audio2_audio2_L,audio2_audio2_H_count,audio2_audio2_L_count,audio2_audio2_target_talker,audio2_audio2_H_talker,audio2_audio2_L_talker,audio2_audio2_target_file,audio2_audio2_H_file,audio2_audio2_L_file
1,#B24567,#A30022,#BF256A,33.78,16.21,31.8,#286C12,#025C49,#007500,37.61,23.55,59.65,k,g,p,1,190,T05,T06,T10,stimuli/T05_aka.wav,stimuli/T06_aga.wav,stimuli/T10_apa.wav,d,b,zh,12,39,T01,T09,T03,stimuli/T01_ada.wav,stimuli/T09_aba.wav,stimuli/T03_azha.wav,d,n,zh,3,39,T01,T09,T07,stimuli/T01_ada.wav,stimuli/T09_ana.wav,stimuli/T07_azha.wav,v,s,eth,2,379,T12,T05,T03,stimuli/T12_ava.wav,stimuli/T05_asa.wav,stimuli/T03_aetha.wav
2,#5D68C5,#006DC2,#385396,33.7,17.86,28.76,#0090BB,#00BFC9,#005F8B,44.81,22.49,48.27,s,n,sh,1,57,T01,T04,T12,stimuli/T01_asa.wav,stimuli/T04_ana.wav,stimuli/T12_asha.wav,theta,d,f,4,260,T08,T09,T05,stimuli/T08_athetaa.wav,stimuli/T09_ada.wav,stimuli/T05_afa.wav,zh,b,d,1,31,T05,T07,T11,stimuli/T05_azha.wav,stimuli/T07_aba.wav,stimuli/T11_ada.wav,g,theta,zh,1,83,T07,T05,T01,stimuli/T07_aga.wav,stimuli/T05_athetaa.wav,stimuli/T01_azha.wav
3,#756100,#B96E33,#6D7100,30.75,19.37,47.21,#C65D6F,#8A266E,#A16463,34.96,19.57,41.49,v,m,z,7,88,T07,T09,T08,stimuli/T07_ava.wav,stimuli/T09_ama.wav,stimuli/T08_aza.wav,m,z,b,1,5,T07,T05,T03,stimuli/T07_ama.wav,stimuli/T05_aza.wav,stimuli/T03_aba.wav,f,sh,theta,1,151,T10,T11,T03,stimuli/T10_afa.wav,stimuli/T11_asha.wav,stimuli/T03_athetaa.wav,m,z,n,1,54,T07,T03,T01,stimuli/T07_ama.wav,stimuli/T03_aza.wav,stimuli/T01_ana.wav
4,#008344,#479378,#00774E,30.08,23.68,44.11,#0073C2,#6E5F6E,#008CCA,46.86,24.03,53.5,n,g,d,2,5,T09,T02,T07,stimuli/T09_ana.wav,stimuli/T02_aga.wav,stimuli/T07_ada.wav,f,n,p,1,27,T09,T03,T02,stimuli/T09_afa.wav,stimuli/T03_ana.wav,stimuli/T02_apa.wav,g,theta,d,1,148,T05,T07,T08,stimuli/T05_aga.wav,stimuli/T07_athetaa.wav,stimuli/T08_ada.wav,b,p,v,1,81,T04,T11,T10,stimuli/T04_aba.wav,stimuli/T11_apa.wav,stimuli/T10_ava.wav
5,#00909C,#00FFFF,#009E92,46.06,21.08,49.03,#944491,#8FAFFF,#5B075B,48.88,21.38,64.18,p,d,t,1,91,T05,T12,T01,stimuli/T05_apa.wav,stimuli/T12_ada.wav,stimuli/T01_ata.wav,v,n,z,4,88,T12,T11,T05,stimuli/T12_ava.wav,stimuli/T11_ana.wav,stimuli/T05_aza.wav,n,g,d,2,5,T11,T04,T09,stimuli/T11_ana.wav,stimuli/T04_aga.wav,stimuli/T09_ada.wav,k,z,f,1,17,T09,T02,T11,stimuli/T09_aka.wav,stimuli/T02_aza.wav,stimuli/T11_afa.wav
6,#2D834C,#00817A,#52AB6F,27.74,15.1,33.02,#0072BA,#00408F,#0086EB,47.84,21.08,42.79,s,n,f,1,29,T12,T01,T07,stimuli/T12_asa.wav,stimuli/T01_ana.wav,stimuli/T07_afa.wav,t,eth,theta,1,9,T04,T08,T10,stimuli/T04_ata.wav,stimuli/T08_aetha.wav,stimuli/T10_athetaa.wav,n,zh,m,1,57,T10,T08,T03,stimuli/T10_ana.wav,stimuli/T08_azha.wav,stimuli/T03_ama.wav,sh,m,t,1,7,T05,T12,T08,stimuli/T05_asha.wav,stimuli/T12_ama.wav,stimuli/T08_ata.wav
7,#008E9A,#88D0E9,#00C0B1,37.29,24.41,39.27,#7C5FA6,#B12B92,#7781DE,36.83,19.34,49.6,f,g,theta,1,151,T09,T03,T08,stimuli/T09_afa.wav,stimuli/T03_aga.wav,stimuli/T08_athetaa.wav,m,p,n,1,54,T06,T04,T01,stimuli/T06_ama.wav,stimuli/T04_apa.wav,stimuli/T01_ana.wav,b,p,z,1,19,T03,T01,T11,stimuli/T03_aba.wav,stimuli/T01_apa.wav,stimuli/T11_aza.wav,theta,n,s,1,45,T04,T09,T06,stimuli/T04_athetaa.wav,stimuli/T09_ana.wav,stimuli/T06_asa.wav
8,#B63270,#DB9896,#BD5C92,44.49,16.72,34.49,#2D7A45,#90C759,#005B11,39.35,20.51,47.05,z,s,zh,1,242,T08,T02,T01,stimuli/T08_aza.wav,stimuli/T02_asa.wav,stimuli/T01_azha.wav,eth,f,v,1,81,T03,T05,T10,stimuli/T03_aetha.wav,stimuli/T05_afa.wav,stimuli/T10_ava.wav,k,n,p,3,190,T04,T06,T08,stimuli/T04_aka.wav,stimuli/T06_ana.wav,stimuli/T08_apa.wav,s,zh,theta,2,84,T01,T07,T04,stimuli/T01_asa.wav,stimuli/T07_azha.wav,stimuli/T04_athetaa.wav
9,#1371B9,#00CCFF,#4A5292,38.84,18.99,56.12,#0096C7,#00D4FF,#00B1F3,34.52,15.02,20.14,n,b,m,3,57,T07,T01,T12,stimuli/T07_ana.wav,stimuli/T01_aba.wav,stimuli/T12_ama.wav,v,m,eth,7,379,T02,T06,T09,stimuli/T02_ava.wav,stimuli/T06_ama.wav,stimuli/T09_aetha.wav,zh,b,z,1,451,T11,T06,T04,stimuli/T11_azha.wav,stimuli/T06_aba.wav,stimuli/T04_aza.wav,eth,theta,zh,1,44,T11,T03,T04,stimuli/T11_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T04_azha.wav
10,#A16238,#DD959C,#A66F63,34.96,19.39,20.18,#A370D5,#566EB1,#8773C0,30.98,16.88,15.12,eth,s,zh,1,44,T12,T07,T05,stimuli/T12_aetha.wav,stimuli/T07_asa.wav,stimuli/T05_azha.wav,k,z,t,1,127,T12,T06,T08,stimuli/T12_aka.wav,stimuli/T06_aza.wav,stimuli/T08_ata.wav,z,s,eth,1,162,T11,T03,T07,stimuli/T11_aza.wav,stimuli/T03_asa.wav,stimuli/T07_aetha.wav,v,m,z,7,88,T03,T12,T05,stimuli/T03_ava.wav,stimuli/T12_ama.wav,stimuli/T05_aza.wav
