trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE
1,#0099D0,#0082B1,#0095CC,39.8,2.94,#375BAB,#005ECF,#4361AC,22.89,3.66
2,#7B8F22,#69AC15,#7F8F22,24.35,2.0,#009F6E,#007A71,#009F6B,31.46,2.89
3,#46812B,#989900,#4B8024,38.3,3.2,#BA7949,#D08D68,#BD784F,10.33,3.56
4,#A54253,#89608F,#A9455A,35.41,2.47,#675DA2,#384AB4,#6359A2,24.95,3.05
5,#5D6FC0,#0040A4,#6878C9,35.32,3.65,#A14C0F,#695331,#A24816,37.55,4.15
6,#009484,#00CBBE,#009987,21.61,2.78,#AA5CBA,#5A62B0,#AE5DBF,29.33,2.21
7,#A37E2A,#B16E24,#957321,15.14,4.8,#008879,#3E9952,#008679,38.06,2.38
8,#14803C,#00956D,#1F8649,19.53,4.69,#009294,#379C7D,#009097,21.21,2.86
9,#6284DF,#A15A94,#648CE5,39.53,4.01,#9C5335,#DB886B,#96502C,21.39,3.1
10,#824E99,#6D2269,#7A458D,17.25,3.96,#0098A6,#00CEF2,#0099A5,26.03,3.09
11,#009765,#1F867D,#00996B,30.87,2.52,#007F84,#2FAB97,#007F83,30.19,2.37
12,#C23D77,#FF8C9B,#CA4983,34.38,3.98,#A56107,#695833,#B0650E,37.6,3.84
13,#8A73BB,#CF8EF1,#8472BC,24.02,2.13,#0DA28C,#5BB297,#00A596,11.15,4.95
14,#A44891,#631E61,#953F87,21.36,4.99,#CB729A,#BB80B1,#D6779B,14.39,4.12
15,#009997,#0081A6,#009B9E,26.59,4.49,#106DAF,#0070D6,#1B70AE,21.65,2.51
16,#A34333,#A95935,#983E31,11.99,4.09,#9E6723,#A47F48,#9C6323,14.96,2.69
17,#C26340,#8F5F3F,#BF6143,23.57,3.02,#0071BE,#0085F4,#006AB8,21.44,3.29
18,#A37A19,#7A5200,#A6801C,17.36,2.48,#7270D7,#4B75D9,#766FD9,10.7,2.51
19,#C35154,#C5735F,#C25453,17.55,2.05,#0079B8,#004365,#0079BD,28.9,2.94
20,#B43068,#ED5368,#B1326E,26.55,4.12,#0081BD,#3186B3,#0077B3,14.17,4.3
21,#499763,#007A54,#519962,14.42,2.37,#00815F,#007C52,#008262,11.32,3.59
22,#0080C6,#00B8FF,#0083CD,31.39,3.22,#66924C,#006300,#5A8D47,35.49,3.3
23,#7583E1,#0060CA,#7388E4,29.65,2.33,#9C6612,#840A00,#9E661E,38.14,4.21
24,#00817A,#004242,#007E79,26.51,2.21,#C0608F,#B889A2,#C46195,23.84,2.59
25,#00909C,#00A7AE,#00959C,10.68,4.03,#819039,#6A7636,#8A963E,14.04,2.95
26,#008DBF,#80D9FF,#0089BE,31.31,2.37,#397E28,#487256,#29792B,33.1,4.99
27,#0072A6,#003773,#0070A2,35.0,2.03,#256E26,#00854E,#37762B,30.38,4.64
28,#007D8E,#007E7A,#008192,15.67,2.21,#AF782E,#6C4000,#AF7727,24.34,2.5
29,#948434,#C29852,#8E8530,15.75,3.46,#00789D,#007B95,#007AA2,15.11,4.62
30,#6A6D12,#156117,#6E741E,29.7,3.32,#96408B,#526294,#923C84,38.33,2.07
31,#007480,#005277,#006E7B,21.87,2.53,#0098BE,#008FAC,#008CB2,17.07,4.29
32,#AC4F1A,#945C00,#AF4E11,34.49,4.09,#9A6B2A,#5C2100,#A16F2B,30.31,2.57
33,#0074BB,#0059AD,#0070BC,15.34,3.4,#E16583,#EE5260,#E1637C,20.56,3.09
34,#95477A,#795A95,#924175,19.92,2.44,#C05161,#84171F,#C6586D,23.87,4.51
35,#857F0D,#7C8A00,#817F0A,18.42,2.24,#A76C24,#6D3C00,#AC6E1C,35.77,4.35
36,#8D5A23,#A2A148,#86571E,36.36,2.52,#AE6BAB,#711C63,#B96DAD,28.08,3.51
37,#BC6A9E,#99094A,#C572AB,33.27,3.9,#AD3932,#FD6544,#BA3B36,28.89,4.66
38,#6A7FE8,#325CA2,#6B77DF,25.02,3.45,#9E434D,#776E71,#9A4349,37.75,2.16
39,#B0537F,#DFA3C0,#BC5C84,30.05,4.34,#D15550,#E34576,#D1524C,25.48,2.18
40,#B87A36,#BE7000,#AD7133,23.19,4.48,#B14128,#AD6570,#AD452C,35.19,3.99
41,#7E9120,#AA8C1E,#7C8E23,23.17,2.62,#0085BC,#009FC3,#0085BC,26.91,2.91
42,#0070B5,#5A6986,#0072B7,35.88,2.15,#B06AA7,#9B99F9,#AF66A7,32.35,2.56
43,#007031,#003F00,#09722F,27.05,2.21,#956425,#B87433,#8C6326,11.46,4.64
44,#D966B1,#F984D1,#D96BAF,11.16,3.72,#B34165,#C50075,#A5395E,34.06,4.48
45,#965C25,#A79B43,#9B6427,32.43,3.52,#0078AD,#0C9799,#007BB3,37.81,2.31
46,#1D68AD,#1885D6,#2662A3,12.62,3.66,#0097CB,#0095D8,#009BCD,19.93,3.26
47,#C17052,#927174,#B36845,31.54,4.98,#4072D2,#356AAC,#3071D5,17.66,3.22
48,#5D7503,#738A3B,#5C7100,14.36,2.28,#417236,#1D6B3E,#366F2D,11.23,4.75
49,#6F68C3,#0050AF,#776AC1,38.52,2.78,#90487E,#9864AA,#99487E,15.71,3.98
50,#8A489C,#902585,#82459D,15.17,3.87,#007CAB,#00ABAC,#0076A2,32.96,3.0
51,#007C6B,#006771,#007C70,22.74,3.76,#AD4E58,#945121,#B05563,30.8,4.44
52,#0098E8,#0089E3,#00A0EF,10.22,3.81,#616913,#233200,#656913,31.17,2.03
53,#B86652,#F9856E,#BC6B4F,20.43,4.33,#3F75BB,#5CC2FF,#4F74B8,33.26,3.44
