trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
1,#00707E,#004574,#00516A,44.44,25.86,20.21,#B15D44,#852F00,#945C00,33.45,28.64,22.15,z,p,eth,1,162,T01,T01,T01,stimuli/T01_aza.wav,stimuli/T01_apa.wav,stimuli/T01_aetha.wav,zh,sh,d,1,31,T01,T01,T01,stimuli/T01_azha.wav,stimuli/T01_asha.wav,stimuli/T01_ada.wav
2,#0078DA,#002F62,#006EF9,40.48,26.23,58.13,#B24C32,#6E4800,#6A2400,34.46,23.84,22.48,f,n,theta,1,151,T02,T02,T02,stimuli/T02_afa.wav,stimuli/T02_ana.wav,stimuli/T02_athetaa.wav,v,m,z,7,88,T02,T02,T02,stimuli/T02_ava.wav,stimuli/T02_ama.wav,stimuli/T02_aza.wav
3,#9F578B,#B10034,#653853,48.48,22.73,50.52,#229369,#4D7217,#63948F,33.65,28.89,48.76,sh,f,t,4,7,T07,T07,T07,stimuli/T07_asha.wav,stimuli/T07_afa.wav,stimuli/T07_ata.wav,t,g,theta,1,9,T07,T07,T07,stimuli/T07_ata.wav,stimuli/T07_aga.wav,stimuli/T07_athetaa.wav
4,#BF7942,#71593B,#8A701E,31.62,23.02,27.56,#0094E4,#104D7A,#0072C1,38.7,28.93,51.86,eth,s,z,1,255,T06,T06,T06,stimuli/T06_aetha.wav,stimuli/T06_asa.wav,stimuli/T06_aza.wav,z,sh,eth,1,162,T06,T06,T06,stimuli/T06_aza.wav,stimuli/T06_asha.wav,stimuli/T06_aetha.wav
5,#9C4F91,#B95068,#E05AAF,30.64,24.03,32.66,#007680,#40916F,#00AEAA,32.19,24.33,33.9,d,b,eth,12,33,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_aba.wav,stimuli/T07_aetha.wav,s,eth,sh,1,57,T07,T07,T07,stimuli/T07_asa.wav,stimuli/T07_aetha.wav,stimuli/T07_asha.wav
6,#007986,#003F3D,#00AEB1,26.14,22.51,45.76,#9B7FE3,#B0C7FF,#DAADFF,29.67,21.73,29.64,g,theta,v,1,197,T11,T11,T11,stimuli/T11_aga.wav,stimuli/T11_athetaa.wav,stimuli/T11_ava.wav,theta,m,s,1,45,T11,T11,T11,stimuli/T11_athetaa.wav,stimuli/T11_ama.wav,stimuli/T11_asa.wav
7,#007C99,#004721,#00958F,48.61,25.34,41.31,#00756F,#87C6C9,#009C7D,42.92,20.71,41.2,s,zh,f,2,29,T09,T09,T09,stimuli/T09_asa.wav,stimuli/T09_azha.wav,stimuli/T09_afa.wav,n,g,m,2,57,T09,T09,T09,stimuli/T09_ana.wav,stimuli/T09_aga.wav,stimuli/T09_ama.wav
8,#AF4E6D,#8466A5,#BD3079,35.89,21.26,42.24,#8685CC,#F0BDFF,#3E618B,45.65,26.1,71.5,sh,p,theta,1,9,T09,T09,T09,stimuli/T09_asha.wav,stimuli/T09_apa.wav,stimuli/T09_athetaa.wav,v,s,z,2,88,T09,T09,T09,stimuli/T09_ava.wav,stimuli/T09_asa.wav,stimuli/T09_aza.wav
9,#22A467,#A6B366,#35B29F,37.03,25.21,44.05,#006DA2,#001B2C,#003C58,43.72,25.03,19.33,eth,theta,v,1,81,T01,T01,T01,stimuli/T01_aetha.wav,stimuli/T01_athetaa.wav,stimuli/T01_ava.wav,n,zh,z,1,7,T01,T01,T01,stimuli/T01_ana.wav,stimuli/T01_azha.wav,stimuli/T01_aza.wav
10,#5C9D43,#476131,#005C1C,32.05,29.55,27.44,#3B7EC0,#008BB4,#398DF3,28.98,21.17,45.28,theta,d,f,4,260,T09,T09,T09,stimuli/T09_athetaa.wav,stimuli/T09_ada.wav,stimuli/T09_afa.wav,d,n,eth,3,33,T09,T09,T09,stimuli/T09_ada.wav,stimuli/T09_ana.wav,stimuli/T09_aetha.wav
11,#008DA7,#4F6E77,#00608D,33.0,27.48,52.55,#6C8BE6,#0099FF,#0050C4,27.09,29.99,31.37,f,g,s,1,18,T08,T08,T08,stimuli/T08_afa.wav,stimuli/T08_aga.wav,stimuli/T08_asa.wav,p,d,theta,1,30,T08,T08,T08,stimuli/T08_apa.wav,stimuli/T08_ada.wav,stimuli/T08_athetaa.wav
12,#158757,#D2E196,#5FC281,48.29,22.81,33.08,#A8502C,#650F00,#D8555C,27.83,25.32,46.8,sh,p,s,1,56,T11,T11,T11,stimuli/T11_asha.wav,stimuli/T11_apa.wav,stimuli/T11_asa.wav,v,m,z,7,88,T11,T11,T11,stimuli/T11_ava.wav,stimuli/T11_ama.wav,stimuli/T11_aza.wav
13,#596600,#A98A00,#386A1F,31.05,24.1,52.51,#007BC4,#A3B6F2,#00A2FF,33.82,22.57,42.07,n,g,z,2,7,T02,T02,T02,stimuli/T02_ana.wav,stimuli/T02_aga.wav,stimuli/T02_aza.wav,z,p,zh,1,242,T02,T02,T02,stimuli/T02_aza.wav,stimuli/T02_apa.wav,stimuli/T02_azha.wav
14,#009FE4,#94EBFF,#00CCFF,39.78,25.31,49.13,#7C5DB2,#E77FE2,#7086E4,32.38,20.19,40.93,t,z,k,1,97,T05,T05,T05,stimuli/T05_ata.wav,stimuli/T05_aza.wav,stimuli/T05_aka.wav,v,m,d,7,81,T05,T05,T05,stimuli/T05_ava.wav,stimuli/T05_ama.wav,stimuli/T05_ada.wav
15,#1B7217,#1CB12F,#003500,30.73,28.69,58.7,#886D0B,#CDAF88,#B96C01,37.82,25.56,45.71,eth,s,z,1,255,T12,T12,T12,stimuli/T12_aetha.wav,stimuli/T12_asa.wav,stimuli/T12_aza.wav,k,g,p,1,190,T12,T12,T12,stimuli/T12_aka.wav,stimuli/T12_aga.wav,stimuli/T12_apa.wav
16,#A74966,#BFA5A8,#8E6386,40.79,23.45,29.74,#6D8D45,#4A4800,#99B235,37.41,26.94,42.26,b,zh,v,3,81,T02,T02,T02,stimuli/T02_aba.wav,stimuli/T02_azha.wav,stimuli/T02_ava.wav,g,s,zh,2,83,T02,T02,T02,stimuli/T02_aga.wav,stimuli/T02_asa.wav,stimuli/T02_azha.wav
17,#C74650,#922655,#BB004B,28.16,28.46,28.94,#0083C9,#0087FC,#004F90,27.81,22.44,35.71,s,n,sh,1,57,T11,T11,T11,stimuli/T11_asa.wav,stimuli/T11_ana.wav,stimuli/T11_asha.wav,t,eth,k,1,97,T11,T11,T11,stimuli/T11_ata.wav,stimuli/T11_aetha.wav,stimuli/T11_aka.wav
18,#B33933,#FF0053,#975146,41.13,24.36,62.54,#1D7331,#4E5100,#00AD66,38.87,29.43,64.92,m,p,s,1,4,T06,T06,T06,stimuli/T06_ama.wav,stimuli/T06_apa.wav,stimuli/T06_asa.wav,n,b,m,3,57,T06,T06,T06,stimuli/T06_ana.wav,stimuli/T06_aba.wav,stimuli/T06_ama.wav
19,#865B21,#FF8F87,#6C3A23,46.22,20.57,48.61,#9D9236,#204400,#72A54B,49.14,26.9,48.84,v,n,z,4,88,T08,T08,T08,stimuli/T08_ava.wav,stimuli/T08_ana.wav,stimuli/T08_aza.wav,g,s,v,2,197,T08,T08,T08,stimuli/T08_aga.wav,stimuli/T08_asa.wav,stimuli/T08_ava.wav
20,#05956B,#59C955,#589782,40.59,20.73,54.37,#0097D4,#008CA2,#007CD3,33.57,22.78,53.95,k,n,p,3,190,T06,T06,T06,stimuli/T06_aka.wav,stimuli/T06_ana.wav,stimuli/T06_apa.wav,z,sh,eth,1,162,T06,T06,T06,stimuli/T06_aza.wav,stimuli/T06_asha.wav,stimuli/T06_aetha.wav
21,#0098B4,#00B0E0,#006680,45.25,21.42,60.88,#A15323,#400E00,#8F413E,34.31,24.65,32.65,g,theta,d,1,148,T09,T09,T09,stimuli/T09_aga.wav,stimuli/T09_athetaa.wav,stimuli/T09_ada.wav,p,d,theta,1,30,T09,T09,T09,stimuli/T09_apa.wav,stimuli/T09_ada.wav,stimuli/T09_athetaa.wav
22,#BE5E73,#790033,#855850,37.62,25.97,49.59,#697517,#002900,#444400,44.5,21.35,35.36,m,theta,s,1,4,T06,T06,T06,stimuli/T06_ama.wav,stimuli/T06_athetaa.wav,stimuli/T06_asa.wav,s,n,theta,1,84,T06,T06,T06,stimuli/T06_asa.wav,stimuli/T06_ana.wav,stimuli/T06_athetaa.wav
23,#6282CD,#AF60D1,#AB82D7,41.06,23.43,21.62,#428225,#5C6B3B,#4B5600,29.54,26.27,21.41,f,sh,p,1,27,T05,T05,T05,stimuli/T05_afa.wav,stimuli/T05_asha.wav,stimuli/T05_apa.wav,p,v,t,1,91,T05,T05,T05,stimuli/T05_apa.wav,stimuli/T05_ava.wav,stimuli/T05_ata.wav
24,#976B20,#7E6A4D,#995300,27.91,23.77,49.91,#C76454,#EC7C34,#8E4D28,30.38,20.46,35.92,t,eth,p,1,109,T08,T08,T08,stimuli/T08_ata.wav,stimuli/T08_aetha.wav,stimuli/T08_apa.wav,m,z,s,1,4,T08,T08,T08,stimuli/T08_ama.wav,stimuli/T08_aza.wav,stimuli/T08_asa.wav
25,#00865B,#00495E,#61BA77,47.21,24.73,65.79,#744D9F,#002548,#933F81,48.96,21.07,56.74,eth,theta,z,1,255,T04,T04,T04,stimuli/T04_aetha.wav,stimuli/T04_athetaa.wav,stimuli/T04_aza.wav,n,zh,z,1,7,T04,T04,T04,stimuli/T04_ana.wav,stimuli/T04_azha.wav,stimuli/T04_aza.wav
