trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
1,#2F7B3F,#004200,#47B776,26.26,22.82,45.79,#4A6809,#87C65A,#2C8000,36.09,29.35,31.99,f,g,theta,1,151,T02,T02,T02,stimuli/T02_afa.wav,stimuli/T02_aga.wav,stimuli/T02_athetaa.wav,sh,p,s,1,56,T02,T02,T02,stimuli/T02_asha.wav,stimuli/T02_apa.wav,stimuli/T02_asa.wav
2,#7787D1,#E5B2FF,#57C0FF,34.87,26.79,42.09,#9769CD,#747EFF,#966EA1,34.78,27.18,60.49,t,z,k,1,97,T02,T02,T02,stimuli/T02_ata.wav,stimuli/T02_aza.wav,stimuli/T02_aka.wav,theta,n,f,1,260,T02,T02,T02,stimuli/T02_athetaa.wav,stimuli/T02_ana.wav,stimuli/T02_afa.wav
3,#6E742A,#5E6A00,#68734E,37.43,20.06,57.3,#008984,#0098BB,#00A8BE,26.62,20.73,18.16,f,g,s,1,18,T01,T01,T01,stimuli/T01_afa.wav,stimuli/T01_aga.wav,stimuli/T01_asa.wav,eth,s,v,1,81,T01,T01,T01,stimuli/T01_aetha.wav,stimuli/T01_asa.wav,stimuli/T01_ava.wav
4,#007972,#0071A1,#005C34,39.44,28.76,66.36,#007DD6,#002872,#004693,38.46,28.87,15.72,v,m,z,7,88,T04,T04,T04,stimuli/T04_ava.wav,stimuli/T04_ama.wav,stimuli/T04_aza.wav,sh,p,s,1,56,T04,T04,T04,stimuli/T04_asha.wav,stimuli/T04_apa.wav,stimuli/T04_asa.wav
5,#876616,#6E7D41,#C2671A,27.07,28.38,53.26,#A24938,#F9719B,#D9867E,39.31,24.52,28.55,eth,s,zh,1,44,T11,T11,T11,stimuli/T11_aetha.wav,stimuli/T11_asa.wav,stimuli/T11_azha.wav,d,b,zh,12,39,T11,T11,T11,stimuli/T11_ada.wav,stimuli/T11_aba.wav,stimuli/T11_azha.wav
6,#C74181,#FF00A1,#D986B0,37.63,26.75,57.86,#009296,#00ABA7,#007752,25.82,27.26,39.03,s,zh,sh,2,57,T12,T12,T12,stimuli/T12_asa.wav,stimuli/T12_azha.wav,stimuli/T12_asha.wav,v,n,eth,4,379,T12,T12,T12,stimuli/T12_ava.wav,stimuli/T12_ana.wav,stimuli/T12_aetha.wav
7,#7160BD,#86A6DD,#BE87FF,37.45,29.06,51.76,#26751F,#314900,#709F1A,30.08,26.43,34.12,z,s,v,1,48,T09,T09,T09,stimuli/T09_aza.wav,stimuli/T09_asa.wav,stimuli/T09_ava.wav,eth,s,z,1,255,T09,T09,T09,stimuli/T09_aetha.wav,stimuli/T09_asa.wav,stimuli/T09_aza.wav
8,#A75639,#3A0000,#6A1800,45.28,25.87,31.36,#009758,#007B00,#008867,48.26,24.13,50.08,zh,b,d,1,31,T03,T03,T03,stimuli/T03_azha.wav,stimuli/T03_aba.wav,stimuli/T03_ada.wav,sh,f,theta,4,9,T03,T03,T03,stimuli/T03_asha.wav,stimuli/T03_afa.wav,stimuli/T03_athetaa.wav
9,#007B9E,#003550,#00ADC8,28.71,23.17,49.58,#848431,#97AB1F,#4D5100,26.15,21.61,38.19,t,z,k,1,97,T10,T10,T10,stimuli/T10_ata.wav,stimuli/T10_aza.wav,stimuli/T10_aka.wav,m,z,s,1,4,T10,T10,T10,stimuli/T10_ama.wav,stimuli/T10_aza.wav,stimuli/T10_asa.wav
10,#708B44,#1F3F00,#474C00,38.83,27.36,21.69,#746210,#001600,#7B902B,47.07,24.99,54.47,z,s,eth,1,162,T01,T01,T01,stimuli/T01_aza.wav,stimuli/T01_asa.wav,stimuli/T01_aetha.wav,zh,sh,g,1,25,T01,T01,T01,stimuli/T01_azha.wav,stimuli/T01_asha.wav,stimuli/T01_aga.wav
