trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
1,#679753,#514B2E,#0A986E,39.38,23.37,48.17,#DE606F,#EE8663,#A94666,25.8,20.8,41.68,f,n,theta,1,151,T08,T08,T08,stimuli/T08_afa.wav,stimuli/T08_ana.wav,stimuli/T08_athetaa.wav,f,sh,p,1,27,T02,T02,T02,stimuli/T02_afa.wav,stimuli/T02_asha.wav,stimuli/T02_apa.wav
2,#A54622,#C1A083,#942429,43.74,18.92,52.06,#009FCA,#003458,#00C8FF,47.46,23.45,60.14,zh,sh,z,1,451,T12,T12,T12,stimuli/T12_azha.wav,stimuli/T12_asha.wav,stimuli/T12_aza.wav,t,g,p,1,109,T08,T08,T08,stimuli/T08_ata.wav,stimuli/T08_aga.wav,stimuli/T08_apa.wav
3,#7C8524,#4F4500,#B8BA4A,26.76,21.53,45.8,#D75061,#8C3458,#B93F67,30.58,17.22,16.34,s,n,f,1,29,T12,T12,T12,stimuli/T12_asa.wav,stimuli/T12_ana.wav,stimuli/T12_afa.wav,f,g,theta,1,151,T11,T11,T11,stimuli/T11_afa.wav,stimuli/T11_aga.wav,stimuli/T11_athetaa.wav
4,#7C76C2,#7B3999,#2065AF,29.56,19.17,39.41,#0093CC,#002645,#0094A8,46.17,22.92,46.53,z,s,zh,1,242,T10,T10,T10,stimuli/T10_aza.wav,stimuli/T10_asa.wav,stimuli/T10_azha.wav,s,n,theta,1,84,T05,T05,T05,stimuli/T05_asa.wav,stimuli/T05_ana.wav,stimuli/T05_athetaa.wav
5,#406817,#006700,#7D8349,31.53,22.83,52.18,#758B1B,#A16700,#939445,40.16,16.67,34.57,v,m,d,7,81,T04,T04,T04,stimuli/T04_ava.wav,stimuli/T04_ama.wav,stimuli/T04_ada.wav,eth,f,zh,1,44,T08,T08,T08,stimuli/T08_aetha.wav,stimuli/T08_afa.wav,stimuli/T08_azha.wav
6,#009E82,#92B267,#2B9F89,45.9,17.25,36.4,#008DC3,#0093C3,#00A7C7,35.03,21.33,23.71,k,n,t,3,127,T06,T06,T06,stimuli/T06_aka.wav,stimuli/T06_ana.wav,stimuli/T06_ata.wav,z,sh,v,1,48,T07,T07,T07,stimuli/T07_aza.wav,stimuli/T07_asha.wav,stimuli/T07_ava.wav
7,#875600,#592000,#907114,31.54,15.29,45.11,#009BA1,#00493B,#00BFBA,39.4,15.28,47.34,n,zh,d,1,5,T05,T05,T05,stimuli/T05_ana.wav,stimuli/T05_azha.wav,stimuli/T05_ada.wav,g,theta,v,1,197,T02,T02,T02,stimuli/T02_aga.wav,stimuli/T02_athetaa.wav,stimuli/T02_ava.wav
8,#007C86,#00598F,#00485A,34.36,21.7,25.96,#A46AAA,#7D43CF,#E27EB6,44.54,21.06,56.22,z,sh,zh,1,242,T09,T09,T09,stimuli/T09_aza.wav,stimuli/T09_asha.wav,stimuli/T09_azha.wav,g,m,d,1,148,T10,T10,T10,stimuli/T10_aga.wav,stimuli/T10_ama.wav,stimuli/T10_ada.wav
9,#B83C88,#FF3FC5,#87005B,40.42,18.58,50.51,#00988C,#00899F,#349697,48.93,20.02,65.5,b,n,v,4,81,T12,T12,T12,stimuli/T12_aba.wav,stimuli/T12_ana.wav,stimuli/T12_ava.wav,p,d,k,1,207,T09,T09,T09,stimuli/T09_apa.wav,stimuli/T09_ada.wav,stimuli/T09_aka.wav
10,#ED5D79,#9B0058,#FF7284,35.96,24.21,55.6,#C65849,#600004,#DA6428,40.17,23.46,54.57,k,z,t,1,127,T04,T04,T04,stimuli/T04_aka.wav,stimuli/T04_aza.wav,stimuli/T04_ata.wav,d,theta,eth,3,33,T06,T06,T06,stimuli/T06_ada.wav,stimuli/T06_athetaa.wav,stimuli/T06_aetha.wav
