trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,32.379,-23.709,#A870AD,24.941,-37.146,#8D77C4,-1.941,-28.715,#5C87B5,15.36,34.68,9.93,25.83
2,55.0,18.035,-2.68,#A07989,22.573,14.859,#B1746B,-19.117,5.881,#628D79,18.12,38.13,11.77,40.83
3,55.0,-16.163,30.035,#7A8A4E,-18.669,19.318,#6F8C62,20.39,33.262,#B4754B,11.01,36.7,6.17,27.76
4,55.0,18.622,5.851,#A6787A,10.704,-11.146,#8E7E97,-8.638,-14.673,#61899D,18.75,34.12,13.15,35.03
5,55.0,-7.281,-28.968,#4A8AB5,-0.037,-11.577,#798497,-27.45,5.275,#4B907A,18.84,39.74,11.83,25.82
6,55.0,18.616,-2.291,#A27888,35.307,2.518,#BD6B81,-7.87,-24.416,#538AAD,17.37,34.51,8.43,33.66
7,55.0,-13.114,26.0,#7D8956,-1.13,22.65,#90835C,-6.569,-12.53,#698899,12.44,39.08,9.56,28.11
8,55.0,16.894,21.804,#AB785F,26.627,37.65,#BE7043,-16.533,33.787,#7B8A47,18.6,35.51,7.07,27.6
9,55.0,29.831,-6.179,#B0708F,47.15,-11.093,#C76198,-2.031,2.886,#82857F,18.0,33.13,6.52,27.44
10,55.0,-25.058,14.634,#5D8F6A,-29.316,2.772,#41917E,13.801,18.307,#A57A65,12.6,39.03,8.1,33.16
11,55.0,-22.519,19.726,#678D61,-26.942,11.816,#55906E,9.038,18.329,#9E7D64,9.06,31.59,5.61,26.87
12,55.0,23.037,11.372,#B07471,42.655,8.592,#CA6477,-8.782,14.887,#7E876A,19.81,32.01,9.09,31.69
13,55.0,17.34,-58.799,#4E80EA,6.489,-53.764,#2F85E1,44.253,-33.395,#B367BE,11.96,37.01,5.46,25.1
14,55.0,37.743,-27.799,#AD6CB4,36.917,-12.052,#B76B99,16.324,-60.436,#4481ED,15.77,39.04,7.82,26.25
15,55.0,-24.963,-14.621,#27919C,-26.342,-4.754,#3D908B,3.684,0.308,#8A8283,9.96,32.3,6.79,34.46
16,55.0,36.404,20.5,#C66962,31.433,16.834,#BE6D68,6.272,43.485,#A37E36,6.18,37.9,2.3,27.02
17,55.0,18.548,12.928,#AA776E,20.729,14.081,#AE766C,-11.534,5.35,#72897A,2.47,31.02,1.29,33.2
18,55.0,-25.098,-7.496,#3C9090,-21.313,2.608,#598E7F,2.093,-0.81,#878385,10.79,28.0,7.34,28.31
19,55.0,-11.194,31.025,#83884D,2.568,27.094,#988155,17.434,8.103,#A67876,14.31,36.67,10.84,30.64
20,55.0,-3.291,-30.43,#5488B8,9.955,-27.547,#7A80B3,18.322,-10.515,#9B7996,13.56,29.39,11.93,27.45
21,55.0,6.28,30.427,#9F7E4F,-7.215,19.757,#848661,19.621,-2.191,#A37888,17.2,35.24,13.24,27.1
22,55.0,-33.623,13.268,#44926C,-35.248,12.322,#3D936D,-3.6,-12.25,#708699,1.88,39.4,0.97,25.72
23,55.0,-19.044,-20.903,#318FA7,-28.558,-14.201,#03929B,-8.383,14.596,#7F876A,11.64,37.07,7.18,26.25
24,55.0,30.613,-10.095,#AF7096,19.894,1.489,#A67782,8.027,-40.304,#6183C9,15.78,37.72,8.47,26.74
25,55.0,37.419,3.545,#C1697F,24.745,3.928,#AF737E,-2.171,0.482,#808583,12.68,39.71,5.44,28.44
26,55.0,18.601,45.328,#B57633,2.611,45.908,#9E8030,32.297,8.465,#BC6D76,16.0,39.33,11.2,25.79
27,55.0,-34.238,-2.192,#1B9386,-39.023,6.409,#1A9577,2.245,2.746,#8A827F,9.84,36.82,5.67,27.19
28,55.0,30.437,22.792,#BF6E5E,14.329,22.587,#A87A5D,-4.609,25.583,#8C8557,16.11,35.16,10.02,27.03
29,55.0,18.849,-17.944,#967AA3,38.325,-21.235,#B36BA9,-9.225,7.153,#788877,19.75,37.66,8.78,28.05
30,55.0,21.541,-10.238,#A17796,10.399,-20.383,#847FA7,-11.226,11.657,#78896F,15.07,39.41,11.84,38.3
31,55.0,31.871,-17.33,#AC70A2,21.282,-16.733,#9B78A1,-0.653,2.42,#84847F,10.61,38.05,5.12,25.92
32,55.0,31.669,-1.352,#B66E87,48.41,-5.929,#CC5F8F,-3.754,13.986,#87856B,17.36,38.6,6.32,32.65
33,55.0,-13.51,-24.462,#3F8CAD,-6.384,-28.754,#4E89B5,12.858,1.303,#9B7C82,8.32,36.87,5.28,36.93
34,55.0,-24.164,-4.754,#458F8B,-35.114,8.645,#369374,6.683,-16.91,#8081A1,17.3,33.16,10.06,26.1
35,55.0,21.453,40.628,#B7743D,20.856,44.841,#B87435,-15.327,31.509,#7C8A4C,4.25,37.89,2.02,26.95
36,55.0,-29.656,-8.347,#229291,-14.506,-14.956,#518C9D,4.431,7.371,#918177,16.53,37.54,10.54,29.31
37,55.0,-7.675,29.73,#88864F,-22.835,16.879,#648E66,29.403,30.312,#C06E51,19.87,37.08,13.37,27.52
38,55.0,18.154,-16.754,#967AA1,6.716,-9.779,#888195,-10.286,-11.433,#628A97,13.4,28.93,8.87,26.42
39,55.0,36.179,16.181,#C4696A,44.23,4.198,#CB627E,3.624,31.065,#9B804E,14.44,35.8,8.34,26.49
40,55.0,-0.936,-38.126,#4988C5,-5.266,-25.919,#5788B0,23.31,-21.336,#9B77A9,12.95,29.49,3.5,25.89
41,55.0,10.65,-36.0,#6F81C2,18.452,-24.406,#8F7AAE,42.325,-11.975,#C06699,13.97,39.76,11.61,25.71
42,55.0,16.201,16.952,#A87967,11.542,2.252,#997D80,-11.865,32.457,#83884A,15.42,32.06,10.19,25.95
43,55.0,-27.538,0.153,#439183,-14.547,2.746,#698B7E,4.625,4.027,#8F817D,13.25,32.4,7.79,29.53
44,55.0,32.154,22.45,#C16C5F,39.464,5.793,#C5677B,-4.371,36.129,#908444,18.19,39.0,11.7,29.37
45,55.0,-30.158,15.004,#509169,-21.731,3.948,#598E7C,8.825,21.908,#9F7D5E,13.9,39.59,7.17,29.48
46,55.0,25.496,11.879,#B47270,27.602,17.535,#B97067,-11.448,21.775,#7E885E,6.04,38.25,3.42,33.82
47,55.0,-13.499,26.826,#7D8954,-13.203,18.912,#798962,22.194,30.555,#B67450,7.92,35.89,4.11,27.78
48,55.0,17.149,-7.686,#9B7A91,-1.054,-0.306,#818484,-8.543,20.342,#828760,19.64,38.02,17.71,35.18
49,55.0,-19.122,-3.266,#578D89,-28.408,3.452,#46917D,10.653,-6.563,#917E8F,11.46,29.96,6.81,32.82
50,55.0,36.516,-3.661,#BC6A8B,28.771,13.121,#B9706E,-0.226,-9.705,#7A8494,18.48,37.24,11.26,25.51
51,55.0,22.407,-70.376,#347EFF,8.591,-59.561,#1285EB,45.724,-38.761,#B066C7,17.55,39.28,5.39,25.19
52,55.0,17.405,-7.129,#9C7A90,36.511,-5.776,#BB6B8F,2.112,25.83,#978157,19.15,36.33,9.21,29.48
53,55.0,-27.906,9.084,#4F9073,-10.163,10.33,#798872,-6.417,-22.515,#5B89AA,17.79,38.21,11.2,26.19
54,55.0,-24.779,-10.196,#369094,-7.015,-13.728,#67889B,-4.499,21.371,#8A855F,18.11,37.52,12.95,25.34
55,55.0,-19.223,2.359,#5E8D7F,-25.416,-3.63,#439089,13.895,9.77,#A17B73,8.61,33.94,5.41,35.69
56,55.0,-5.99,-27.006,#5389B2,-6.513,-40.638,#218BCA,8.713,9.605,#997E73,13.64,39.45,4.61,28.93
57,55.0,17.343,32.109,#AF774D,29.325,33.849,#C06E4A,-19.66,38.518,#778C3E,12.11,37.55,7.05,27.37
58,55.0,19.989,5.181,#A8777B,34.47,18.552,#C36B65,-6.328,18.577,#858663,19.71,29.53,9.25,29.81
59,55.0,-12.152,-18.768,#518BA4,-2.01,-6.344,#7A858E,18.055,-19.999,#937AA6,16.04,30.23,11.23,26.49
60,55.0,37.466,-2.153,#BE6989,56.459,-3.377,#D8558B,-1.719,0.698,#818582,19.03,39.29,6.11,27.7
61,55.0,40.623,31.192,#CF6450,43.316,19.719,#CF6264,13.149,59.766,#B07908,11.79,39.64,7.14,25.33
62,55.0,29.031,-9.513,#AD7195,12.68,1.774,#9B7C81,-1.422,1.459,#828481,19.87,32.37,11.34,25.66
63,55.0,-6.791,-28.434,#4D89B4,1.079,-39.228,#4D87C7,-0.141,8.596,#8A8375,13.36,37.62,4.3,26.65
64,55.0,35.435,23.657,#C6695D,23.759,24.278,#B6735B,2.873,44.099,#9E8034,11.69,38.45,6.46,27.53
65,55.0,-1.308,33.424,#948349,8.113,46.998,#A67D2F,18.576,7.31,#A77878,16.52,32.82,7.99,26.02
66,55.0,11.95,-56.649,#3F83E6,15.649,-49.302,#637FD9,32.302,-25.042,#A770AF,8.23,37.59,5.62,26.71
67,55.0,-17.017,-10.763,#518D96,-15.628,-18.089,#478DA2,3.983,17.397,#968066,7.46,35.13,4.84,27.2
68,55.0,-18.665,-2.008,#5A8D87,-14.708,-16.29,#4E8C9F,5.832,4.158,#91807D,14.82,25.26,10.86,27.52
69,55.0,29.085,-35.474,#9774C1,30.301,-36.632,#9873C3,-5.98,-37.063,#378AC3,1.68,35.1,0.53,25.45
70,55.0,40.243,-17.044,#B968A2,57.251,-21.195,#D056AA,14.43,-44.944,#6980D2,17.51,38.01,5.29,25.02
71,55.0,36.742,39.625,#CC6740,28.299,45.694,#C26E34,2.913,59.151,#A18007,10.4,39.06,6.85,25.8
72,55.0,15.976,15.459,#A7796A,4.946,0.56,#8D8183,-11.224,3.053,#70897E,18.54,29.89,12.86,31.05
73,55.0,16.618,-11.184,#987A97,16.45,-10.786,#987B97,-4.333,-42.994,#238ACE,0.43,38.09,0.25,31.75
74,55.0,-4.316,-44.996,#128AD1,14.787,-39.899,#737FC9,35.303,-40.603,#9C70CA,19.77,39.86,15.47,28.77
75,55.0,43.682,19.177,#CF6265,43.685,26.556,#D26158,12.047,42.516,#AB7A39,7.38,39.31,4.17,27.01
76,55.0,31.51,39.399,#C56C40,42.655,31.569,#D2624F,-5.324,45.578,#928430,13.62,37.35,8.77,26.21
77,55.0,1.235,-41.884,#4687CC,5.028,-25.608,#7283B0,30.69,-29.925,#9F72B8,16.71,31.79,10.13,25.58
78,55.0,28.135,34.94,#BF6F48,29.644,28.075,#BF6E55,-5.795,50.257,#928525,7.03,37.23,4.27,26.11
79,55.0,-20.164,-2.41,#558E87,-14.351,-13.864,#538C9B,16.94,5.946,#A4797A,12.84,38.03,9.74,39.01
80,55.0,21.295,25.911,#B37558,8.193,37.52,#A47D42,-12.726,20.824,#7B895F,17.51,34.4,12.99,28.36
81,55.0,-2.108,19.828,#8D8461,-2.035,21.626,#8E845E,11.757,-2.837,#967D89,1.8,26.57,0.95,25.01
82,55.0,-9.234,-34.805,#2F8BBF,6.559,-39.527,#5E84C8,17.428,-22.168,#8F7BAA,16.48,29.51,9.92,26.83
83,55.0,-4.206,-17.612,#6887A2,-4.631,-27.295,#5788B2,-33.156,7.322,#3C9276,9.69,38.21,4.41,25.06
84,55.0,6.361,17.954,#9A7F65,-1.175,20.39,#8F8360,-17.999,2.84,#618C7E,7.92,28.67,8.58,26.36
85,55.0,-0.587,-27.692,#6186B3,7.656,-21.515,#7D81A9,34.661,-15.788,#B26DA0,10.3,37.2,10.21,28.24
86,55.0,-13.281,-23.519,#428CAC,-0.861,-39.171,#4688C7,-9.226,12.78,#7C886D,19.98,36.52,8.88,26.78
87,55.0,-8.121,19.281,#828762,-14.089,24.061,#7A8A59,26.773,17.132,#B87167,7.65,34.96,4.37,30.09
88,55.0,-23.47,-2.885,#4B8F88,-19.968,5.937,#608D79,6.464,-10.552,#868196,9.49,30.9,6.64,27.83
89,55.0,5.17,-49.744,#3B86DA,12.177,-62.774,#1A83F1,11.41,-12.353,#8E7E99,14.79,37.91,2.04,25.02
90,55.0,-0.189,-39.468,#4887C8,0.944,-36.507,#5486C3,26.969,-23.662,#9F74AD,3.17,31.42,1.85,26.64
91,55.0,18.331,-6.839,#9E7990,5.992,-15.746,#80819F,-9.405,-32.635,#378BBC,15.22,37.88,13.37,35.1
92,55.0,-15.041,17.977,#758A64,-2.687,12.279,#88846E,12.529,-3.268,#977C8A,13.61,34.81,10.75,34.98
93,55.0,5.22,-28.282,#6F83B4,9.456,-20.369,#8280A7,17.829,8.978,#A77875,8.98,39.34,7.98,26.33
94,55.0,0.66,44.996,#9B8132,-5.582,30.316,#8C854E,26.254,17.033,#B77168,15.95,37.91,7.51,26.87
95,55.0,3.572,-31.855,#6584BB,-4.797,-22.562,#5F88AA,19.205,3.773,#A6777E,12.51,38.91,5.36,27.02
96,55.0,22.525,-15.51,#9E779F,15.043,-6.425,#997B8F,-3.405,-25.224,#5E87AF,11.77,27.69,6.34,25.38
97,55.0,24.518,32.657,#BA724C,14.956,27.37,#AA7955,-8.272,19.883,#828761,10.93,35.19,5.38,25.44
98,55.0,-24.494,-19.647,#0991A5,-23.53,-2.592,#4B8F87,8.723,-1.15,#927F86,17.08,38.02,11.0,41.77
99,55.0,-27.514,-12.129,#209198,-28.479,2.048,#43917F,6.992,-6.749,#8B808F,14.21,34.92,9.85,34.28
100,55.0,-30.545,27.614,#5B9052,-46.873,33.939,#309645,6.157,16.536,#997F67,17.51,38.34,5.8,25.95
101,55.0,2.34,34.267,#9A8148,-9.793,20.735,#80885F,13.3,-1.082,#9A7C86,18.18,37.01,12.47,27.28
102,55.0,-23.03,4.318,#578E7C,-8.896,-2.866,#708888,12.303,18.712,#A37B64,15.85,38.15,11.19,33.01
103,55.0,14.826,20.558,#A87961,10.927,11.025,#9D7D71,-20.142,7.997,#628D75,10.3,37.16,5.76,32.92
104,55.0,0.768,18.969,#918263,8.737,35.534,#A47D46,-19.252,-14.786,#418E9D,18.38,39.25,9.14,27.9
105,55.0,24.091,-13.411,#A3759B,29.645,4.964,#B6707C,-2.433,7.376,#858477,19.2,33.7,11.58,29.21
106,55.0,20.399,-16.005,#9A78A0,33.157,-2.03,#B86D88,-15.459,-31.23,#128EB9,18.92,38.96,11.12,36.1
107,55.0,46.142,-32.102,#B765BC,61.031,-28.814,#D052B7,19.65,-62.036,#4C7FF0,15.25,39.97,5.56,25.92
108,55.0,22.582,7.816,#AD7577,34.019,-3.837,#B86D8B,1.234,-24.609,#6B85AE,16.33,38.82,9.33,28.2
109,55.0,12.986,23.501,#A67B5C,-5.976,21.55,#87865E,-13.917,1.234,#698B81,19.06,34.92,17.67,29.79
110,55.0,25.234,57.24,#C07117,21.554,38.111,#B77442,-13.862,49.042,#858927,19.48,39.95,6.55,25.59
111,55.0,-16.102,25.664,#788A56,-10.335,24.79,#828858,16.121,11.888,#A67970,5.83,35.04,3.78,31.22
112,55.0,22.216,17.655,#B17466,25.838,-0.946,#AE7386,-8.769,29.03,#868751,18.95,33.01,13.15,27.66
113,55.0,-17.006,6.519,#678C78,-24.864,13.837,#5D8F6B,10.328,3.671,#987D7E,10.74,27.48,5.59,32.29
114,55.0,-12.167,16.495,#798967,-15.732,20.492,#758A60,1.235,-13.709,#79849B,5.36,33.04,2.77,26.34
115,55.0,-11.696,30.21,#82884E,-21.586,34.666,#728D45,9.115,3.405,#967E7E,10.85,33.94,5.46,27.59
116,55.0,30.767,10.856,#BB6E72,21.781,-0.783,#A77686,-8.734,15.508,#7F8769,14.7,39.77,8.19,34.34
117,55.0,34.068,33.074,#C76A4C,40.586,47.643,#D26331,-2.941,46.332,#96832F,15.96,39.31,5.47,27.84
118,55.0,16.962,31.46,#AF774E,10.398,42.832,#A87B38,-16.031,26.323,#788A55,13.13,33.39,8.12,25.93
119,55.0,-4.692,23.708,#8B855A,-5.3,5.671,#7E867A,-13.966,-14.143,#548C9C,18.05,38.97,11.41,27.54
120,55.0,35.918,-34.861,#A36FC0,38.994,-35.02,#A96CC1,3.377,-49.175,#3487D9,3.08,35.55,1.33,27.55
121,55.0,2.504,23.185,#96815C,6.526,40.982,#A27E3B,2.948,-12.449,#7E8399,18.25,35.64,7.51,26.09
122,55.0,0.653,-20.54,#6F85A7,-11.661,-19.971,#508BA6,-7.026,15.463,#828669,12.33,36.81,10.96,29.06
123,55.0,16.481,19.527,#AA7863,9.756,31.869,#A47C4D,-17.118,3.694,#648C7D,14.06,37.14,10.11,33.88
124,55.0,15.185,-15.174,#927C9E,23.902,-18.748,#9E76A4,-8.254,11.163,#7D8770,9.42,35.26,4.89,33.73
125,55.0,-23.603,31.197,#6C8E4C,-17.833,21.587,#728B5E,11.81,27.731,#A67B54,11.21,35.58,4.52,26.21
126,55.0,5.733,-44.956,#4E85D1,15.188,-61.342,#3B81EF,37.313,-25.429,#AE6CB0,18.92,37.13,2.85,28.05
127,55.0,38.368,-2.726,#BF698A,22.706,-10.356,#A37696,9.246,-29.106,#7781B6,17.42,39.29,8.62,25.09
128,55.0,-15.205,15.426,#738A69,-7.332,16.472,#828767,23.136,21.764,#B4745F,7.94,38.86,6.57,33.38
129,55.0,12.914,-14.626,#8E7D9D,-2.872,-13.974,#70869B,-15.064,10.059,#6F8B72,15.8,37.31,17.55,29.16
130,55.0,38.914,17.969,#C96667,42.07,33.241,#D1624C,4.548,34.896,#9E7F47,15.59,38.31,7.94,27.64
131,55.0,2.759,-36.718,#5985C3,12.832,-32.786,#797FBC,27.168,-10.549,#AA7396,10.81,35.79,9.36,28.0
132,55.0,11.877,-19.287,#887EA5,26.076,-21.488,#9F75A9,-17.125,-16.552,#458DA0,14.37,29.13,8.43,25.99
133,55.0,18.071,-65.944,#3380F7,17.797,-47.592,#6C7ED6,53.204,-47.384,#B460D7,18.35,39.73,8.14,26.02
134,55.0,23.404,14.052,#B1746D,27.333,22.975,#BA705D,-11.585,20.529,#7D8860,9.75,35.58,5.02,32.34
135,55.0,-7.719,-21.477,#5989A8,-7.145,-36.329,#348AC2,18.609,-16.0,#977AA0,14.86,26.89,5.44,26.41
136,55.0,8.23,-29.895,#7382B7,0.076,-29.162,#6086B6,-9.85,4.405,#74887C,8.19,38.77,6.26,26.06
137,55.0,-16.557,-9.25,#558D93,-15.28,-20.837,#418DA7,19.651,6.007,#A8777A,11.66,39.29,7.26,42.81
138,55.0,4.423,-33.749,#6484BE,-0.942,-38.291,#4888C6,36.246,-9.547,#B86B95,7.03,39.98,5.66,28.6
139,55.0,38.41,-7.639,#BC6992,34.035,2.58,#BB6C80,9.944,19.723,#A07D62,11.12,39.48,5.93,26.61
140,55.0,29.447,-4.442,#B1708C,38.222,-4.244,#BE698C,-1.736,7.823,#868476,8.78,33.51,3.54,28.49
141,55.0,-30.003,15.314,#519168,-25.882,19.815,#608F60,4.965,26.077,#9B7F57,6.1,36.59,3.6,25.75
142,55.0,4.056,23.115,#98805C,-9.974,30.043,#85874F,31.033,-0.364,#B66F85,15.65,35.76,12.04,28.1
143,55.0,37.579,28.497,#CA6754,30.213,20.839,#BE6E61,3.359,48.116,#A0802C,10.63,39.44,3.84,27.51
144,55.0,-23.087,30.387,#6D8D4D,-19.79,11.99,#668D6E,6.425,4.656,#92807C,18.69,39.15,9.25,28.68
145,55.0,41.89,-31.603,#B169BB,53.483,-47.749,#B45FD7,10.501,-54.059,#4383E2,19.88,38.59,5.78,27.85
146,55.0,14.103,-59.248,#3F82EB,21.705,-45.77,#797BD3,36.647,-32.608,#A76EBD,15.47,34.9,11.1,25.08
147,55.0,19.803,31.419,#B3754E,19.697,50.348,#B77529,32.907,-3.379,#B76E8A,18.93,37.18,8.18,25.43
148,55.0,-21.732,37.375,#738C40,-19.403,17.717,#6C8C64,14.748,30.37,#AB7950,19.8,37.15,9.03,26.81
149,55.0,-12.198,-23.252,#478CAB,-6.308,-33.86,#408ABE,16.647,-13.482,#967B9B,12.13,30.46,5.62,31.22
150,55.0,-23.896,-14.606,#2D909C,-8.051,-26.156,#4E8AB0,3.402,-2.017,#888287,19.61,30.06,12.43,30.82
151,55.0,-19.774,-0.449,#598D84,-26.795,-5.713,#39918D,16.659,-4.362,#9D7A8C,8.77,36.64,5.01,37.64
152,55.0,52.224,35.954,#DF5748,67.147,43.663,#F33F3C,16.65,54.086,#B4771F,16.8,39.93,4.08,25.08
153,55.0,24.186,36.353,#BA7245,20.282,22.881,#B0765D,-11.934,42.142,#868837,14.03,36.58,6.15,26.6
154,55.0,-4.181,-42.484,#288ACD,3.729,-37.832,#5985C5,13.432,-15.068,#8F7D9E,9.18,32.59,6.99,27.66
155,55.0,18.064,-12.214,#997A99,16.245,-2.799,#9D7A89,-0.867,-43.557,#3688CF,9.59,36.62,5.95,29.63
156,55.0,34.173,19.592,#C36B64,48.306,22.505,#D75C5F,-1.081,15.446,#8C8369,14.43,35.5,5.13,25.11
157,55.0,-9.591,-18.949,#588AA4,1.012,-8.714,#7E8493,17.865,-18.735,#937AA4,14.74,27.46,12.71,25.33
158,55.0,-21.983,11.081,#618E70,-26.866,25.603,#628F56,5.432,14.152,#96806C,15.32,27.59,7.46,25.68
159,55.0,13.479,-61.232,#3182EE,19.065,-52.755,#657EDF,46.301,-45.961,#AA67D4,10.15,36.2,7.23,25.26
160,55.0,-27.239,8.746,#519074,-26.3,20.86,#608F5F,4.732,27.528,#9B7F54,12.15,37.08,7.05,26.31
161,55.0,-5.407,-27.401,#5489B3,-9.281,-33.906,#328BBE,31.701,-12.902,#AF6F9B,7.57,39.84,4.0,32.76
162,55.0,6.761,26.708,#9E7E56,-10.782,17.605,#7D8865,-29.039,22.441,#5A905C,19.76,36.05,17.3,25.58
163,55.0,15.4,11.906,#A57A70,-3.488,5.964,#828579,-19.003,6.188,#638D78,19.8,34.88,21.57,35.89
164,55.0,-21.721,-21.98,#1990A9,-26.429,-9.329,#319193,15.504,-24.429,#897CAE,13.5,37.31,8.6,28.33
165,55.0,21.034,-11.725,#9F7798,10.753,-22.402,#827FAA,-1.651,-35.572,#4D88C1,14.82,32.91,11.75,28.56
166,55.0,35.843,-10.863,#B76C97,35.671,-24.998,#AC6DAF,5.055,-35.295,#6284C1,14.14,39.3,7.32,28.26
167,55.0,-21.246,7.832,#5F8E75,-4.656,1.767,#7C8680,13.473,19.251,#A57A63,17.66,36.55,13.19,32.7
168,55.0,17.878,3.876,#A4787E,37.036,-1.018,#BE6A87,-20.664,-1.429,#558E85,19.77,38.91,9.59,40.26
169,55.0,30.673,41.32,#C46D3D,21.511,34.772,#B67448,-7.694,51.906,#908521,11.26,39.8,4.38,27.45
170,55.0,-15.887,-28.549,#228EB4,-22.719,-21.132,#1490A7,6.67,-11.25,#868197,10.08,28.43,5.8,26.65
171,55.0,17.531,38.54,#B17741,27.844,36.046,#BF6F46,41.772,8.217,#C96477,10.61,38.82,7.29,26.6
172,55.0,-1.769,35.214,#948346,4.823,26.687,#9B7F56,7.219,-0.25,#908084,10.78,36.59,6.69,25.25
173,55.0,-15.143,-15.33,#4E8C9E,-18.122,-27.928,#0F8FB3,7.121,11.236,#977F71,12.95,34.66,6.1,28.35
174,55.0,-2.908,-24.707,#6087AE,14.382,-15.183,#917C9E,30.799,-11.886,#AE7099,19.74,36.06,20.6,29.38
175,55.0,11.74,22.152,#A47B5E,4.927,38.654,#9F7F40,-22.479,33.466,#708D48,17.85,36.04,10.65,26.38
176,55.0,28.236,10.278,#B77073,38.858,25.756,#CB6659,-7.373,0.213,#768783,18.77,37.0,8.47,33.92
177,55.0,-14.137,-11.288,#588C97,-3.277,-9.252,#758693,20.24,-23.283,#9379AC,11.05,36.41,9.85,26.02
178,55.0,19.07,13.48,#AB776D,31.821,28.871,#C26C53,-15.968,16.963,#728B66,19.99,35.21,8.38,34.06
179,55.0,24.691,38.429,#BB7242,36.552,52.249,#CE6727,-9.672,28.816,#858751,18.21,35.68,5.41,25.11
180,55.0,9.835,-16.776,#877FA1,13.416,-18.473,#8C7DA4,-28.01,-4.845,#36918B,3.96,39.68,2.69,29.77
