trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,-13.597,13.627,#758A6C,-32.582,18.747,#4E9262,21.6,26.517,#B47457,19.66,37.48,9.56,30.77
2,55.0,-20.594,10.889,#648D70,-20.596,26.641,#708C54,7.428,1.198,#927F82,15.75,29.65,8.67,31.55
3,55.0,-22.266,22.157,#698D5C,-8.525,25.407,#858757,13.192,34.092,#AA7A49,14.12,37.41,9.53,27.49
4,55.0,-20.547,20.501,#6C8D5F,-12.471,26.406,#7F8955,8.701,18.188,#9D7D65,10.0,29.34,6.76,25.58
5,55.0,-25.536,7.918,#548F75,-15.566,-0.659,#638B84,8.682,-7.311,#8D7F90,13.15,37.45,7.91,31.74
6,55.0,-9.737,41.415,#8A8739,-12.098,54.327,#898818,22.686,29.969,#B67351,13.13,34.38,4.1,25.51
7,55.0,3.38,-44.552,#4686D1,15.348,-58.646,#4781EA,25.367,-13.903,#A4759C,18.49,37.72,3.79,29.15
8,55.0,-29.882,-6.645,#27928E,-36.159,5.72,#2B9479,4.622,5.735,#90817A,13.87,36.66,8.68,29.77
9,55.0,-29.461,-2.674,#359287,-30.232,6.241,#449178,5.259,-18.662,#7C82A4,8.95,38.22,6.0,26.28
10,55.0,9.622,32.877,#A57C4B,-7.492,28.227,#888652,25.533,2.648,#AF7380,17.73,34.16,13.86,25.6
11,55.0,28.438,30.773,#BE6F50,14.196,22.616,#A87A5D,-9.44,40.539,#8A873B,16.41,39.12,7.67,28.87
12,55.0,15.754,-50.164,#617FDB,28.334,-55.623,#7778E5,50.59,-31.732,#BE60BB,13.71,39.41,6.01,25.04
13,55.0,10.228,-51.771,#4A83DE,10.188,-36.031,#6E81C2,34.468,-26.209,#A96FB1,15.74,35.23,7.5,26.2
14,55.0,-1.695,-31.925,#5687BB,3.341,-30.426,#6784B8,0.055,6.391,#888379,5.25,38.36,4.49,26.1
15,55.0,18.088,-67.773,#2681FA,16.387,-55.536,#5580E4,47.246,-43.88,#AE65D0,12.35,37.7,4.16,25.76
16,55.0,-18.734,-10.897,#4B8E96,-8.697,3.763,#76887D,1.163,22.392,#93825D,17.77,38.78,12.88,27.53
17,55.0,21.441,21.689,#B2755F,8.694,25.108,#A07D59,-14.075,39.834,#82893C,13.2,39.88,10.63,29.73
18,55.0,28.337,-10.788,#AB7297,37.434,-3.929,#BD6A8C,-4.818,-32.833,#4989BC,11.39,39.81,5.8,33.66
19,55.0,17.512,8.856,#A67875,28.636,-4.329,#B0718C,-13.069,3.95,#6D8A7C,17.25,30.97,10.97,34.7
20,55.0,29.206,26.398,#BE6F58,37.15,11.86,#C46971,-4.628,14.914,#86856A,16.57,35.73,11.21,25.8
21,55.0,6.797,21.524,#9C7E5F,1.718,35.352,#9A8146,-21.752,-4.23,#4E8E8A,14.73,38.45,8.27,29.4
22,55.0,-14.662,-32.514,#0F8EBB,4.179,-27.789,#6D84B3,24.04,-37.007,#8B78C4,19.42,38.96,14.88,25.8
23,55.0,26.863,-0.899,#AF7286,29.49,-17.294,#A872A2,3.807,-32.243,#6584BB,16.6,38.91,9.34,27.91
24,55.0,-10.621,20.359,#7F8860,-26.895,17.085,#5B8F65,18.127,-1.198,#A17986,16.6,35.93,10.41,34.87
25,55.0,-15.609,37.361,#7E8A41,-19.901,19.223,#6C8C62,14.357,18.101,#A67A65,18.64,35.62,9.88,26.21
26,55.0,5.465,-17.834,#7D82A2,10.731,-0.742,#967D85,-25.556,0.705,#4A9082,17.88,36.14,14.19,26.37
27,55.0,-15.718,-22.78,#3A8DAA,2.045,-18.304,#7584A3,16.262,-2.03,#9E7A88,18.32,38.12,15.48,40.36
28,55.0,30.537,-12.778,#AD709A,25.205,-28.914,#9776B6,-1.396,-28.693,#5D87B5,16.99,35.68,10.29,28.98
29,55.0,-6.008,-33.205,#448ABD,8.685,-27.923,#7781B4,19.14,-7.498,#9F7891,15.61,35.96,13.59,32.28
30,55.0,11.447,-41.93,#6781CC,28.328,-35.891,#9575C2,30.299,-7.627,#B07092,17.93,39.14,13.7,25.82
31,55.0,29.809,-5.536,#B1708E,27.21,-22.263,#A074AB,-7.034,3.726,#79877D,16.93,37.99,9.82,35.39
32,55.0,2.759,-25.123,#6E84AF,12.56,-32.363,#797FBC,-2.035,10.216,#878472,12.18,35.66,4.98,27.32
33,55.0,-25.766,10.546,#578F71,-14.692,16.314,#748A67,12.524,15.943,#A27B69,12.49,38.67,8.14,33.78
34,55.0,-25.024,-13.37,#2B909A,-24.637,2.76,#508F7E,5.647,8.613,#938075,16.13,37.74,11.27,29.85
