trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,3.236,28.39,#998052,-1.416,9.772,#888473,27.903,3.791,#B3717E,19.19,34.84,11.12,27.87
2,55.0,18.104,33.512,#B1774A,22.682,21.81,#B4745F,30.599,-1.297,#B46F87,12.57,36.98,8.47,25.69
3,55.0,-25.703,18.716,#5F8F62,-12.259,5.849,#718A79,-0.491,-11.562,#788597,18.61,39.4,9.71,27.56
4,55.0,-17.343,10.724,#6B8C71,-12.759,8.939,#738A74,14.671,19.714,#A77A62,4.92,33.25,3.24,31.31
5,55.0,12.126,17.024,#A27B67,20.369,29.597,#B37551,-21.238,-4.809,#4E8E8B,15.03,39.87,6.67,33.54
6,55.0,32.298,14.422,#BE6D6C,39.142,27.298,#CC6657,-3.55,14.22,#87856B,14.58,35.85,6.7,28.49
7,55.0,26.619,5.589,#B2727B,29.092,5.469,#B6707B,1.269,-22.115,#6F85AA,2.48,37.55,1.16,27.77
8,55.0,-5.306,-34.543,#4289BF,2.229,-37.734,#5586C5,20.332,-6.461,#A1778F,8.18,38.03,4.61,32.78
9,55.0,21.361,15.951,#AF7569,12.492,28.051,#A77B54,-5.202,18.214,#878564,15.0,26.66,11.77,25.32
10,55.0,-2.353,46.163,#97832F,-14.785,56.291,#868910,34.46,41.854,#C9693C,16.04,37.06,7.75,25.3
11,55.0,34.637,13.188,#C16B6F,33.312,20.396,#C26B62,6.543,41.045,#A27E3B,7.33,39.56,4.77,28.6
12,55.0,-3.345,-28.867,#5788B5,-1.224,-40.78,#3F88CA,9.263,0.713,#947E83,12.1,32.16,3.29,25.73
13,55.0,10.321,26.597,#A37C56,18.13,33.88,#B17749,23.916,-8.375,#A67593,10.68,37.52,5.09,27.68
14,55.0,24.78,39.892,#BC713F,21.812,33.689,#B6744A,-12.439,33.807,#828848,6.88,37.71,2.38,26.86
15,55.0,33.621,-2.613,#B86D89,48.715,-4.623,#CD5E8D,13.573,27.406,#A87A55,15.23,36.1,5.35,25.91
16,55.0,-22.849,26.3,#6B8D55,-11.301,38.046,#86883F,7.796,12.473,#997E6F,16.47,33.62,10.1,26.58
