trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,20.147,29.877,#B37551,5.248,22.85,#9A7F5C,-10.453,5.248,#74897A,16.47,39.28,10.42,29.84
2,55.0,14.999,-13.987,#937C9C,18.606,-1.39,#A27887,6.496,19.557,#9B7F62,13.1,34.61,8.86,26.09
3,55.0,13.716,21.097,#A67A60,15.794,34.306,#AE7849,-21.034,29.064,#708C50,13.37,35.65,6.28,28.06
4,55.0,-23.631,-14.127,#30909B,-7.218,-15.778,#63899E,10.036,6.047,#997D7A,16.5,39.25,11.38,33.91
5,55.0,23.226,10.611,#B07472,29.902,3.942,#B66F7E,-12.888,7.67,#718A76,9.44,36.23,6.06,36.85
6,55.0,6.749,-25.524,#7682B0,10.504,-28.22,#7B80B4,21.924,10.427,#AE7573,4.62,39.02,2.08,25.78
7,55.0,-20.786,44.985,#788C30,-32.252,35.971,#5D9142,18.211,36.68,#B27644,14.58,39.87,7.88,27.75
8,55.0,38.793,-28.312,#AE6BB5,41.917,-44.718,#A36BD2,10.832,-53.223,#4783E0,16.7,37.45,7.02,27.23
9,55.0,-16.345,11.369,#6D8B70,-4.765,2.094,#7C8680,10.215,36.599,#A77C44,14.84,36.63,11.0,25.38
10,55.0,-25.99,-1.86,#449086,-34.465,2.28,#2A937F,5.168,4.33,#90807C,9.43,31.77,4.62,29.84
11,55.0,24.803,40.494,#BC713E,22.022,48.328,#BA732D,-10.471,57.8,#8D870A,8.31,39.29,4.54,26.0
12,55.0,10.192,19.833,#A07C62,16.009,9.476,#A47974,-17.117,1.871,#628C80,11.88,32.69,10.22,29.51
13,55.0,-10.656,-36.366,#1B8CC2,-18.774,-26.924,#118FB2,28.373,-33.074,#9874BD,12.45,39.17,6.31,29.39
14,55.0,-0.333,-46.428,#2C88D4,11.79,-41.063,#6981CB,35.29,-32.125,#A56FBC,13.26,38.39,10.62,30.17
15,55.0,-27.984,-2.889,#3B9188,-13.681,-16.352,#518C9F,5.028,16.457,#978068,19.64,38.26,13.65,28.99
16,55.0,12.048,-60.093,#2F83EC,9.274,-47.317,#5483D6,42.746,-39.356,#AB69C8,13.07,37.05,3.63,26.81
17,55.0,22.28,33.95,#B7744A,33.155,40.396,#C76B3F,40.32,-0.417,#C36786,12.64,38.81,5.08,25.77
18,55.0,17.2,-65.485,#3081F6,29.363,-58.68,#7477EA,50.954,-48.219,#AF62D8,13.94,37.91,10.46,25.35
19,55.0,-11.2,53.101,#8B871D,-11.268,44.158,#888733,28.027,49.052,#C26F2D,8.94,39.44,2.99,26.58
20,55.0,23.794,2.508,#AC7480,36.918,-8.775,#BA6B94,2.465,33.476,#9A8149,17.31,37.6,8.52,29.2
21,55.0,41.727,-33.366,#AF69BE,35.733,-19.572,#B06DA6,8.439,-55.123,#3484E3,15.04,39.77,6.04,29.22
22,55.0,-13.311,-15.706,#538C9E,-1.012,-20.471,#6C86A7,15.187,-12.456,#947B99,13.19,28.68,11.14,30.73
23,55.0,28.527,-22.022,#A373AA,43.392,-22.396,#BA66AB,-5.83,-29.677,#4E89B7,14.87,35.2,6.11,28.68
24,55.0,-24.26,-17.523,#1E90A1,-24.139,-15.642,#28909E,8.477,-1.83,#917F87,1.88,36.3,1.06,40.7
25,55.0,16.348,23.496,#AB785C,21.912,37.015,#B77444,-21.42,14.643,#658D6A,14.62,38.79,5.84,32.3
26,55.0,-18.111,-28.844,#038FB5,-16.761,-30.373,#068EB8,8.549,-0.632,#927F85,2.04,38.82,1.09,37.28
27,55.0,20.668,15.812,#AE7669,16.928,19.216,#AA7863,-17.617,9.562,#698C73,5.06,38.79,4.13,36.66
28,55.0,1.614,25.411,#968158,4.807,9.924,#938073,-9.648,-10.344,#658995,15.81,37.49,10.39,26.77
29,55.0,-16.299,11.413,#6D8B6F,-9.181,13.174,#7D886D,19.266,8.897,#A97775,7.33,35.65,5.98,37.13
30,55.0,-10.72,30.473,#84884E,-19.573,25.138,#718C57,17.874,15.146,#AA786A,10.34,32.44,6.97,27.23
31,55.0,-5.297,-43.831,#128ACF,3.976,-52.897,#2287DF,21.061,-22.261,#9678AA,12.97,34.06,4.08,29.89
32,55.0,45.958,14.457,#D1606D,34.649,24.545,#C56A5B,15.885,40.119,#B0783E,15.16,39.53,9.07,26.7
33,55.0,0.859,23.54,#94825B,-9.007,18.214,#808764,40.565,23.169,#CC655E,11.21,39.71,10.41,26.3
34,55.0,16.714,20.377,#AA7861,13.317,30.2,#A97A50,-14.071,-2.085,#658B87,10.39,38.11,7.03,32.94
35,55.0,-7.882,-25.347,#518AAF,-5.472,-24.203,#5A88AD,14.195,-6.294,#987C8F,2.67,29.16,2.0,30.43
36,55.0,-33.688,15.295,#469268,-26.568,11.223,#56906F,3.715,23.054,#98805C,8.2,38.2,3.36,25.72
37,55.0,-13.796,30.641,#7E894D,-18.493,25.098,#738B57,24.987,30.671,#BA7250,7.27,38.78,4.64,29.55
38,55.0,-32.112,-3.902,#239389,-16.799,-14.128,#4B8D9B,3.711,13.381,#93816D,18.41,39.77,11.76,28.52
39,55.0,19.003,-14.382,#99799D,13.476,-10.831,#937C97,-12.239,-32.098,#298CBB,6.57,35.91,3.78,34.17
40,55.0,30.095,-17.185,#A971A2,46.772,-26.837,#BC63B3,-1.805,2.972,#83847E,19.27,37.73,6.45,27.93
