trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,-22.13,22.216,#6A8D5C,-6.559,30.605,#8B864E,-19.002,-16.613,#3E8EA0,17.69,38.95,12.1,26.82
2,55.0,17.272,17.044,#AA7867,22.289,26.089,#B47458,0.308,-15.081,#75859D,10.34,36.33,4.74,26.35
3,55.0,-14.831,11.575,#708A6F,-19.836,-5.245,#528E8C,12.969,0.231,#9A7C84,17.55,30.03,12.68,34.08
4,55.0,15.54,-16.337,#927CA0,2.646,-12.407,#7D8399,-13.888,-27.569,#338DB3,13.48,31.5,11.66,30.49
5,55.0,-6.389,-41.778,#198BCC,-7.861,-31.864,#408ABA,30.709,-36.235,#9973C3,10.02,37.51,2.77,28.37
6,55.0,34.573,-2.891,#B96C8A,39.815,6.024,#C5677B,12.061,24.246,#A57B5A,10.34,35.26,5.44,25.28
7,55.0,-19.766,-0.164,#598D83,-17.404,-13.283,#4B8D9A,15.096,10.204,#A37A73,13.33,36.37,9.8,36.75
8,55.0,15.735,20.399,#A97961,1.532,13.568,#90826C,24.904,-17.415,#A175A2,15.76,38.91,13.06,25.68
9,55.0,-11.634,-32.043,#2D8CBB,-7.865,-17.429,#5F89A1,21.154,-19.526,#9978A6,15.09,35.1,6.64,31.8
10,55.0,-7.84,-31.137,#428AB9,-2.615,-12.054,#738698,27.804,-32.084,#9875BB,19.78,35.66,10.16,25.23
11,55.0,16.454,-62.934,#3A81F1,7.691,-57.493,#1E85E8,42.609,-35.898,#AE69C2,10.31,37.62,3.94,26.03
12,55.0,-5.178,32.879,#8E854A,1.184,37.438,#998142,22.335,16.798,#B17468,7.83,31.87,5.28,25.76
13,55.0,5.216,25.943,#9B7F57,9.448,20.858,#A07D60,3.993,-11.067,#818297,6.61,37.03,5.39,26.21
14,55.0,16.252,-18.606,#917BA4,28.478,-19.185,#A573A5,-15.772,-4.083,#5E8C8A,12.24,35.16,6.76,28.55
15,55.0,9.751,-15.799,#887F9F,10.685,-31.599,#7680BA,-3.69,20.954,#8B845F,15.83,39.13,9.82,32.0
16,55.0,23.014,44.322,#BA7336,18.674,51.113,#B67627,49.668,16.143,#D65B6A,8.06,38.79,4.77,25.11
17,55.0,-7.489,-35.906,#348BC1,3.308,-30.79,#6684B9,9.046,-1.933,#927F87,11.95,37.78,9.49,30.01
18,55.0,14.03,22.049,#A77A5E,0.73,24.557,#948259,25.301,-13.898,#A4759C,13.54,37.67,12.37,25.95
19,55.0,2.526,35.258,#9B8046,21.668,32.715,#B6744C,24.612,10.248,#B27373,19.31,33.37,14.51,25.71
20,55.0,2.306,18.365,#938164,5.155,-0.79,#8C8185,-26.561,-2.829,#409088,19.37,35.81,15.75,26.44
21,55.0,36.605,-13.687,#B66B9C,27.958,-0.322,#B17185,8.204,-37.425,#6782C4,15.92,37.02,7.91,26.11
22,55.0,-16.238,-17.95,#458DA2,2.674,-13.725,#7C839B,6.614,2.511,#918080,19.38,30.67,17.9,32.82
23,55.0,25.719,19.044,#B77264,9.548,24.662,#A17D59,2.627,48.143,#9F802B,17.12,37.15,13.36,25.26
24,55.0,-16.544,10.884,#6C8B70,-8.465,11.605,#7D876F,19.408,13.424,#AB776D,8.11,36.04,6.58,35.98
25,55.0,9.987,23.471,#A27C5C,16.999,18.877,#AA7864,17.188,-12.425,#987A99,8.38,36.61,7.31,26.57
26,55.0,18.226,31.032,#B0774F,25.805,43.154,#BE7139,-13.559,20.265,#798960,14.3,33.56,4.87,26.24
27,55.0,32.67,27.719,#C36C55,40.955,38.97,#D16342,-4.678,34.035,#8F8448,13.97,37.88,4.61,27.96
28,55.0,-12.738,-29.659,#318CB6,4.551,-30.887,#6984B9,12.129,-17.326,#8A7EA2,17.33,27.76,12.61,26.66
29,55.0,30.258,-16.827,#AA71A1,33.304,-22.354,#AA6FAB,4.008,-37.091,#5C85C4,6.31,33.16,2.76,26.21
30,55.0,-8.329,-33.233,#3A8BBD,-4.085,-28.06,#5788B4,30.502,-37.564,#9773C5,6.69,39.07,4.1,25.29
31,55.0,17.762,-10.968,#9A7A97,34.501,-20.826,#AE6EA8,-19.169,-14.794,#428E9D,19.43,37.13,8.31,37.0
32,55.0,-6.262,-29.032,#4E89B5,-6.219,-18.274,#6288A3,-12.79,8.912,#728A74,10.76,38.5,4.67,27.21
33,55.0,-1.161,29.956,#93834F,-7.061,44.973,#8F8532,21.28,4.697,#AA767C,16.13,33.79,6.58,28.05
34,55.0,26.209,0.511,#AF7384,31.793,-14.209,#AE6F9D,-8.541,-13.866,#63899B,15.74,37.61,8.6,35.73
35,55.0,32.709,24.202,#C26C5C,46.234,38.529,#D85E43,-2.966,32.237,#91844B,19.7,36.57,6.24,27.36
36,55.0,-26.131,11.805,#578F6E,-26.088,20.21,#5F8F60,5.49,-10.565,#858196,8.4,38.73,4.73,28.32
37,55.0,-5.549,-29.835,#4E89B7,-18.418,-22.437,#2E8EAA,9.888,-5.907,#917E8E,14.84,28.47,9.22,26.49
38,55.0,3.587,-49.889,#3287DA,16.055,-40.766,#747ECA,41.862,-46.329,#A26BD5,15.45,38.44,12.65,25.85
39,55.0,-18.853,-9.314,#4E8E93,-30.235,4.645,#41917B,6.758,20.096,#9B7F61,18.01,39.0,11.93,29.6
40,55.0,-12.905,37.224,#838841,-17.082,50.73,#808A23,23.453,23.481,#B5735C,14.14,38.87,4.58,29.71
41,55.0,-17.23,23.411,#748B5A,-17.83,20.806,#718B5F,10.766,9.006,#9C7D75,2.67,31.48,1.56,29.33
42,55.0,9.904,-58.8,#2784EA,17.21,-55.104,#597FE4,47.827,-49.103,#A966DA,8.19,39.14,6.3,26.43
43,55.0,16.329,-7.71,#9A7A91,28.871,-3.498,#B1718B,-18.98,-17.847,#3B8EA2,13.23,36.74,7.61,39.27
44,55.0,-15.964,57.126,#84890C,1.217,57.584,#9E810F,19.254,39.619,#B4763F,17.19,39.33,10.7,25.31
45,55.0,-17.816,54.567,#808A17,-30.098,53.928,#6A9017,19.031,41.269,#B4763C,12.3,39.17,6.31,25.81
46,55.0,-1.617,-40.409,#3F88C9,13.301,-28.934,#807EB6,20.851,-8.765,#A17793,18.82,38.81,16.48,31.2
47,55.0,1.624,19.156,#938263,14.301,15.79,#A57A69,33.629,-2.288,#B86D89,13.12,38.53,13.48,29.82
48,55.0,28.002,4.456,#B4717D,30.372,1.344,#B66F82,-2.344,-5.375,#7A858D,3.91,31.9,2.31,26.41
49,55.0,22.46,15.563,#B1746A,11.437,5.855,#9B7D7A,-5.98,1.12,#798782,14.69,31.9,8.35,29.63
50,55.0,28.652,20.629,#BB6F62,19.024,22.286,#AE765E,-6.702,30.46,#8A864E,9.77,36.7,6.37,28.93
51,55.0,-0.434,28.733,#948252,-4.065,45.002,#948432,34.026,18.245,#C26B66,16.67,36.02,6.5,27.22
52,55.0,3.745,-52.741,#2187DF,8.677,-46.388,#5483D4,22.542,-22.09,#9977AA,8.04,35.96,5.68,27.92
53,55.0,-6.238,-23.403,#5989AC,-7.006,-5.272,#71888C,12.238,9.223,#9E7C74,18.15,37.49,11.2,30.34
54,55.0,-24.952,12.904,#5B8F6D,-26.685,23.966,#618F59,9.979,-2.437,#937E88,11.2,38.15,5.76,37.17
55,55.0,9.279,18.863,#9F7D64,-6.287,7.41,#7E8677,-9.894,-2.986,#6D8988,19.33,29.07,19.72,25.79
56,55.0,17.283,19.082,#AB7864,9.115,16.762,#9D7D67,-9.961,13.721,#7C886C,8.49,27.77,6.23,27.59
57,55.0,-8.041,-40.915,#0C8BCA,-11.581,-23.077,#4A8BAB,13.907,-20.229,#8B7DA7,18.19,30.16,6.56,26.67
58,55.0,5.814,-56.9,#0B86E7,14.909,-41.725,#707FCC,28.611,-30.723,#9B74B9,17.69,34.71,12.62,27.19
59,55.0,-22.153,15.307,#648E68,-39.083,7.012,#1D9576,-1.684,-14.056,#72869C,18.85,35.79,9.9,26.53
60,55.0,-28.939,18.348,#579063,-14.002,12.866,#738A6D,1.966,0.511,#888383,15.91,35.68,7.92,26.19
61,55.0,3.082,20.077,#958161,-8.36,32.257,#88864B,42.897,16.97,#CE6369,16.71,39.94,10.97,25.69
62,55.0,11.398,21.44,#A37C5F,4.045,30.602,#9B804F,-6.342,-8.691,#6F8892,11.75,34.96,8.89,26.76
63,55.0,13.378,25.313,#A77A59,28.199,34.019,#BF6F4A,-20.18,30.277,#738C4E,17.19,33.92,8.1,26.19
64,55.0,22.098,-11.296,#A17798,31.082,-0.391,#B66F85,-5.986,-7.222,#718790,14.13,28.38,8.28,25.4
