trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,32.786,51.904,#C96A27,21.983,56.085,#BB731A,-6.407,51.367,#928522,11.58,39.2,7.44,25.65
2,55.0,-31.388,-8.453,#129391,-13.262,-7.736,#608B91,1.154,12.363,#8E826E,18.14,38.63,10.05,26.56
3,55.0,-21.164,2.823,#598E7E,-33.753,12.16,#42926E,13.416,7.85,#9F7B77,15.67,34.94,7.52,36.64
4,55.0,15.675,19.902,#A97962,19.47,13.333,#AB776E,-9.787,1.554,#728981,7.59,31.38,6.13,29.31
5,55.0,-6.399,-40.136,#258BC9,5.287,-26.834,#7183B2,13.461,-14.041,#907D9C,17.71,32.79,13.49,28.96
6,55.0,29.597,7.53,#B76F78,36.995,25.241,#C8685A,4.015,31.649,#9C804D,19.19,35.16,10.04,27.36
7,55.0,-23.891,25.778,#688E56,-26.94,43.557,#6C8F33,9.896,7.509,#9A7D77,18.04,38.41,7.11,31.65
8,55.0,7.497,-40.388,#5F83C9,14.002,-58.394,#4282E9,25.675,-9.31,#A87494,19.14,36.0,4.34,25.84
9,55.0,26.213,-5.916,#AB738F,38.271,-18.129,#B56AA4,-1.245,-16.229,#71869F,17.16,29.33,7.39,25.76
10,55.0,-5.549,33.019,#8D8549,3.996,16.574,#958067,26.7,22.847,#BA715E,19.01,33.81,11.72,26.48
11,55.0,35.524,-7.847,#B86C92,45.532,0.346,#CB6185,3.095,-29.103,#6884B6,12.93,38.77,5.87,27.98
12,55.0,-2.229,-31.541,#5587BA,4.0,-44.757,#4886D1,35.96,-24.566,#AD6DAF,14.61,38.82,2.75,28.61
13,55.0,19.441,-5.79,#A1788E,5.37,-13.256,#82829A,-12.984,3.466,#6D8A7D,15.93,33.72,13.8,31.0
14,55.0,-23.794,45.234,#738D2F,-15.029,52.797,#84891D,11.27,28.142,#A57B53,11.58,39.01,6.41,25.01
15,55.0,-4.02,-24.25,#5E88AD,9.682,-29.584,#7781B7,32.964,-9.111,#B36E94,14.7,39.96,9.57,31.97
16,55.0,-14.618,13.251,#728A6C,-19.044,13.716,#6A8C6B,10.763,11.297,#9D7D71,4.45,25.46,2.86,28.53
17,55.0,-20.071,7.696,#628D76,-16.805,15.704,#708B68,16.813,21.456,#AB785F,8.65,39.37,5.88,34.05
18,55.0,28.487,2.009,#B37181,30.43,10.545,#BA6E73,-4.49,-4.102,#77868B,8.75,33.54,5.4,26.35
19,55.0,27.587,-13.624,#A8739C,29.682,-6.695,#B07090,-4.972,-34.687,#4389BF,7.24,38.78,4.31,33.25
20,55.0,5.76,-37.974,#5F84C5,-0.824,-25.137,#6586AF,38.057,-16.596,#B66AA1,14.43,38.73,3.34,27.97
21,55.0,-6.271,20.822,#86865F,-17.167,20.883,#738B5F,22.766,2.706,#AB7580,10.9,34.23,8.12,32.04
22,55.0,31.391,-35.373,#9B72C1,12.716,-31.815,#7B7FBB,-5.045,-35.174,#4289C0,19.01,36.44,10.23,25.29
23,55.0,44.627,-25.927,#BA65B1,30.373,-29.773,#9F72B8,12.044,-44.209,#6481D0,14.76,37.36,7.15,25.07
24,55.0,24.616,-6.487,#A8748F,11.508,-17.662,#897EA2,-7.001,-1.208,#758785,17.23,32.05,12.4,25.72
25,55.0,23.565,-20.538,#9C77A7,39.171,-15.496,#B9699F,-4.512,3.809,#7E867D,16.4,37.16,8.36,25.52
26,55.0,22.85,-23.949,#9777AD,26.755,-32.821,#9576BD,-5.911,-35.086,#3E8AC0,9.69,30.84,4.19,26.97
27,55.0,-16.216,14.826,#708B6A,-18.452,14.474,#6B8C6A,23.571,15.196,#B2746B,2.26,39.79,1.52,36.35
28,55.0,-9.279,24.968,#838758,-5.692,34.241,#8E8547,23.01,11.945,#B07470,9.94,34.82,5.54,30.79
29,55.0,-29.29,5.69,#469179,-26.11,-7.851,#379090,-0.107,-19.842,#6F85A6,13.91,38.78,9.57,26.03
30,55.0,-6.24,27.901,#8A8553,-9.255,39.703,#8A873C,22.896,17.245,#B27467,12.18,31.02,4.76,26.27
31,55.0,3.553,-24.314,#7184AD,2.487,-26.414,#6B84B1,33.54,-0.803,#B96D86,2.36,38.11,1.93,26.76
32,55.0,32.362,3.634,#BA6D7F,25.936,17.81,#B77266,4.917,24.247,#9A7F5A,15.56,34.32,10.59,26.65
33,55.0,34.093,-20.384,#AD6EA7,38.119,-26.376,#AF6BB2,7.098,-42.936,#5884CE,7.22,35.17,2.78,26.56
34,55.0,18.591,-7.806,#9E7992,7.78,-8.53,#8B8092,-7.232,0.171,#768783,10.84,27.03,8.61,25.43
35,55.0,-0.5,-35.668,#5187C1,7.791,-32.649,#6E82BC,26.285,-16.059,#A474A0,8.82,33.2,7.53,28.17
36,55.0,5.173,-25.74,#7283B0,10.848,-32.042,#7680BB,40.174,-11.598,#BD6899,8.48,37.75,2.7,25.01
37,55.0,21.564,47.453,#B9742F,21.937,47.365,#BA732F,50.63,20.818,#D95A62,0.38,39.42,0.26,25.43
38,55.0,23.899,22.342,#B5735E,25.736,17.687,#B67266,-10.466,29.026,#838851,5.0,35.01,3.61,28.39
39,55.0,-17.102,39.572,#7C8A3C,-31.024,30.736,#5C914C,20.791,39.218,#B67440,16.49,37.89,9.36,27.25
40,55.0,-31.765,1.845,#369280,-42.714,18.213,#279563,1.411,-19.234,#7384A5,19.69,39.31,9.45,25.62
41,55.0,14.013,32.943,#AB794B,-5.593,34.978,#8E8546,34.284,2.215,#BC6C81,19.71,36.81,15.3,26.45
42,55.0,-4.615,23.62,#8B855B,-9.727,29.991,#85874F,27.836,6.942,#B57179,8.17,36.49,4.32,31.18
43,55.0,21.771,23.385,#B3745C,16.387,34.349,#AF7848,-9.725,3.367,#74887E,12.22,37.32,8.37,31.6
44,55.0,21.474,-16.785,#9B78A1,24.15,-8.365,#A67593,3.15,12.674,#92816E,8.83,34.69,5.64,26.34
45,55.0,23.019,-11.807,#A27698,29.036,-8.045,#AE7192,-7.865,-37.208,#2B8BC4,7.1,39.99,4.06,35.45
46,55.0,-19.431,-21.673,#2B8FA8,-4.15,-10.04,#728795,-30.263,15.273,#509168,19.2,38.5,11.96,26.32
47,55.0,16.537,51.074,#B37726,14.624,46.185,#AF7931,43.34,23.358,#D0625E,5.25,38.56,1.61,25.53
48,55.0,11.832,16.333,#A17C68,27.105,7.671,#B47178,18.744,-22.48,#917AAB,17.56,39.42,13.41,25.86
49,55.0,15.087,13.046,#A57A6E,-0.968,11.868,#8A836F,-15.269,8.934,#6D8B74,16.1,30.63,17.32,32.98
50,55.0,20.996,14.612,#AE766B,15.836,1.846,#A07A81,-6.266,-12.182,#6B8898,13.77,38.22,8.72,33.29
51,55.0,-1.556,21.18,#8F835F,-8.402,38.236,#8B863F,24.214,-1.915,#AA7488,18.38,34.6,8.31,30.43
52,55.0,4.52,-26.895,#6F83B2,23.039,-24.441,#9777AE,-13.215,6.034,#6F8A79,18.68,37.4,14.43,26.36
53,55.0,-12.746,-21.44,#498CA8,-10.617,-33.85,#2B8CBE,5.097,7.523,#928077,12.59,34.02,5.43,28.21
54,55.0,-31.455,-9.119,#0A9392,-22.904,6.047,#598E79,-0.577,15.384,#8D8369,17.41,39.42,11.09,26.15
55,55.0,11.064,35.309,#A77B46,8.786,20.182,#9E7D61,-20.385,12.252,#658D6E,15.3,39.0,6.89,27.51
56,55.0,42.541,-18.73,#BC66A5,27.841,-16.804,#A673A1,4.638,-31.099,#6984B9,14.83,39.87,5.76,26.72
57,55.0,-5.835,53.169,#93851D,-21.205,55.617,#7B8C12,31.134,41.212,#C56C3D,15.56,38.85,8.84,26.67
58,55.0,17.668,-13.644,#987A9B,31.677,-3.957,#B56F8B,-13.509,3.188,#6C8A7E,17.03,35.43,10.03,29.5
59,55.0,-26.684,-1.676,#429086,-18.743,-7.248,#528D90,6.219,-11.883,#858198,9.7,34.45,6.33,28.01
60,55.0,-18.96,-25.192,#1D8FAF,-25.177,-17.174,#1791A1,4.821,0.832,#8D8182,10.15,35.25,6.08,32.78
61,55.0,-20.841,-2.876,#538E88,-8.502,-5.806,#6D888D,9.853,-7.404,#8F7E91,12.68,31.03,9.79,32.53
62,55.0,18.852,-3.874,#A1788B,15.903,-21.48,#8D7CA9,-13.754,-24.936,#3C8CAE,17.85,38.82,11.66,39.19
63,55.0,-25.37,3.396,#4F8F7D,-8.922,7.289,#798877,11.966,12.654,#A07C6E,16.9,38.47,11.75,35.15
64,55.0,-21.405,10.352,#618D71,-30.069,-4.661,#2D928B,-6.974,-26.394,#5189B1,17.33,39.48,11.35,27.71
65,55.0,-5.033,57.57,#95840D,-13.072,43.909,#858833,24.963,31.457,#BA724E,15.85,39.77,7.54,25.62
66,55.0,-31.108,6.763,#429277,-19.69,16.495,#6A8C66,4.108,-0.402,#8B8184,15.0,35.94,9.17,30.95
67,55.0,26.056,-5.807,#AB738E,39.248,-11.001,#BC6998,-3.021,-12.884,#71869A,14.18,29.93,5.73,27.11
68,55.0,-19.612,-2.57,#568D87,-16.359,-2.625,#5F8C88,5.85,14.666,#977F6B,3.25,30.75,2.11,27.51
69,55.0,-6.997,-40.908,#1B8BCA,-5.098,-31.692,#4B89BA,10.306,-7.79,#907E91,9.41,37.37,3.7,30.72
70,55.0,1.027,-41.493,#4687CB,5.353,-28.672,#6E83B5,18.38,-8.545,#9D7993,13.53,37.24,8.75,28.63
71,55.0,-2.885,17.791,#8B8465,-12.69,21.998,#7C895D,-13.069,-17.136,#518CA1,10.67,36.38,8.29,26.81
72,55.0,-16.207,-14.227,#4D8D9C,-25.477,-18.052,#0C91A2,8.315,-5.261,#8E7F8D,10.03,26.11,5.02,31.09
73,55.0,20.919,3.397,#A9767F,36.977,11.583,#C46971,-2.403,-6.945,#79858F,18.02,25.51,8.07,25.16
74,55.0,3.861,40.39,#9E7F3C,-14.887,35.339,#7F8945,22.844,6.108,#AD757A,19.42,39.19,13.77,28.14
75,55.0,16.286,-22.541,#8D7CAB,18.469,-9.621,#9C7995,-6.353,5.632,#7C877A,13.1,36.14,8.7,26.15
76,55.0,36.645,-14.992,#B56B9E,48.395,-2.534,#CD5E8A,-1.298,-22.947,#6786AB,17.13,38.77,8.06,27.93
77,55.0,-16.09,28.022,#798A52,-14.884,42.911,#828935,8.805,5.795,#977E7A,14.94,33.37,6.61,28.06
78,55.0,-14.243,-22.64,#418DAA,-18.075,-10.008,#4F8D94,6.263,9.591,#957F73,13.2,38.2,8.41,30.78
