trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,21.109,1.179,#A87682,23.984,20.612,#B57361,-11.839,-10.705,#5F8A96,19.64,35.03,12.76,37.71
2,55.0,21.736,-20.585,#9978A7,26.23,-33.172,#9476BD,-13.933,-31.383,#208DB9,13.37,37.27,6.2,32.92
3,55.0,13.156,-12.562,#917D99,21.089,-2.344,#A57788,-23.804,-7.762,#409090,12.94,37.27,9.12,34.03
4,55.0,-15.411,-21.97,#3E8DA9,-4.193,-25.216,#5C88AF,11.29,-13.61,#8C7E9B,11.68,27.98,8.31,29.04
5,55.0,-10.38,-31.017,#388BB9,-10.842,-19.367,#548BA5,12.124,-7.044,#937D90,11.66,32.88,5.14,32.23
6,55.0,12.817,24.944,#A67B59,17.774,22.067,#AD775E,-5.729,-4.767,#74878C,5.73,35.02,4.75,26.0
7,55.0,16.839,44.894,#B27734,35.037,42.995,#CA693A,-21.301,52.51,#7A8C1D,18.3,38.89,11.54,25.63
8,55.0,-12.496,51.42,#888821,-4.185,59.294,#978403,21.813,39.241,#B87440,11.45,36.41,6.19,25.04
9,55.0,27.813,-8.6,#AC7293,39.078,-21.933,#B46AAA,8.196,-38.697,#6483C7,17.45,35.93,7.3,25.5
10,55.0,-3.746,46.106,#94842F,-18.069,48.93,#7E8B27,32.363,32.072,#C46C4E,14.6,38.74,8.78,27.66
11,55.0,34.986,-7.062,#B86C91,17.6,-13.599,#987A9B,10.342,-38.305,#6B81C6,18.58,39.79,10.07,26.38
12,55.0,-7.071,-22.835,#5889AB,-7.362,-41.712,#0D8BCC,-7.973,13.441,#7F876C,18.88,36.29,6.44,27.72
13,55.0,-24.407,-8.805,#3C9092,-7.403,-1.6,#748886,4.85,8.679,#928075,18.47,34.08,12.23,28.57
14,55.0,28.577,45.178,#C26E35,44.153,55.28,#D85F21,-7.933,48.916,#8F8628,18.57,36.7,6.23,25.28
15,55.0,33.966,36.18,#C76A47,21.496,23.17,#B2755D,-2.199,48.398,#97832A,18.02,38.17,6.38,26.69
16,55.0,2.448,-24.936,#6D84AF,18.107,-26.658,#8C7BB2,1.894,14.322,#91826B,15.75,39.26,11.39,27.61
17,55.0,37.503,24.955,#C9675B,42.807,29.345,#D16253,2.286,35.263,#9A8146,6.89,36.69,2.2,26.2
18,55.0,-3.022,23.17,#8D845B,3.355,4.955,#8D817B,-26.279,-7.565,#379190,19.3,38.54,14.28,25.71
19,55.0,24.66,-7.342,#A87491,27.507,-4.076,#AE728B,-14.47,-10.928,#588C96,4.33,39.29,2.56,36.86
20,55.0,10.977,23.938,#A37C5B,22.478,17.304,#B17467,13.819,-11.081,#937C97,13.28,35.13,10.92,25.15
21,55.0,18.726,1.081,#A47882,32.758,9.857,#BD6D74,-6.596,29.187,#8A8650,16.55,37.83,8.28,32.16
22,55.0,24.104,-5.753,#A8758E,22.185,-23.034,#9778AC,-3.944,-17.454,#6987A1,17.39,30.39,10.55,28.81
23,55.0,-19.644,-13.798,#428E9B,-6.555,-27.274,#5189B2,15.184,-5.906,#997B8E,18.79,35.71,12.07,39.68
24,55.0,-3.331,56.067,#978314,3.132,53.568,#A0801E,30.759,38.729,#C46D42,6.93,38.25,4.35,25.87
25,55.0,-15.033,10.165,#6F8B72,-23.732,25.723,#698E56,9.694,2.077,#967E80,17.82,26.02,8.52,30.52
26,55.0,18.079,35.194,#B17747,21.683,31.332,#B5744E,-18.113,22.154,#728B5D,5.28,38.47,3.79,28.43
